save_id,timestamp_epoch_s,n_channels,n_solve_channels,selected_blocks,solver,rank,condition_number,residual_norm_uT,solve_residual_norm_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,status
000013,1.4551645999963512,8,8,all,weighted_lstsq,3,8.778783934034399,14.6280548893777,14.6280548893777,-3.9784770882805973,-4.372623067920011,-4.160207444908061,ok
000014,1.5648456999988412,8,8,all,weighted_lstsq,3,8.778783934034399,14.385800214720241,14.385800214720241,-1.2886997064937866,-5.915838617353897,-3.7780837505658114,ok
000015,1.6763490499943146,8,8,all,weighted_lstsq,3,8.778783934034399,19.083148153265224,19.083148153265224,-0.4386875886596127,-3.1662337475254825,-1.0501199229382974,ok
000016,1.7828408499990474,8,8,all,weighted_lstsq,3,8.778783934034399,9.48552843565231,9.48552843565231,0.25801267026678865,-10.582231044937291,-2.422203053865543,ok
000017,1.8949562999914635,8,8,all,weighted_lstsq,3,8.778783934034399,14.775885197316757,14.775885197316757,1.1247567548243902,-7.600084962504674,-0.46094899162740743,ok
000018,2.008349499992619,8,8,all,weighted_lstsq,3,8.778783934034399,18.234473225408173,18.234473225408173,-0.7989896523482176,-3.3163336524746647,-1.4624869664357645,ok
000019,2.1247588499900303,8,8,all,weighted_lstsq,3,8.778783934034399,12.37409723116091,12.37409723116091,-5.985592780477859,-7.211154502271831,-5.581480674165148,ok
000020,2.231688949992531,8,8,all,weighted_lstsq,3,8.778783934034399,17.009691752916325,17.009691752916325,0.19764725397527183,-13.982196432056629,1.8763040637747204,ok
000021,2.334245599995484,8,8,all,weighted_lstsq,3,8.778783934034399,12.328921373901785,12.328921373901785,-5.139147674257421,-8.791580103454741,-4.443776451183307,ok
000022,2.438030999990588,8,8,all,weighted_lstsq,3,8.778783934034399,26.80925148506974,26.80925148506974,-8.761195636918902,-6.616108658735733,-6.8101409827892905,ok
000023,2.54653779999353,8,8,all,weighted_lstsq,3,8.778783934034399,10.825858773415003,10.825858773415003,-6.712520162614018,-10.104268097117075,-1.258105456816175,ok
000024,2.653750649988069,8,8,all,weighted_lstsq,3,8.778783934034399,14.865016056441378,14.865016056441378,-5.015052117480366,-5.466920395627243,-1.864350566329735,ok
000025,2.760158499993849,8,8,all,weighted_lstsq,3,8.778783934034399,9.551691408174221,9.551691408174221,-6.790758053417419,-11.045266914865833,-3.185650082407094,ok
000026,2.868262449992472,8,8,all,weighted_lstsq,3,8.778783934034399,21.288612198860566,21.288612198860566,-13.589164906618329,-2.4276747939546315,-8.474115210913805,ok
000027,2.9832211499960977,8,8,all,weighted_lstsq,3,8.778783934034399,14.87645442818971,14.87645442818971,-8.611362500397991,-13.394811109516823,-3.2786289605952263,ok
000028,3.1006947999921977,8,8,all,weighted_lstsq,3,8.778783934034399,14.737876355649528,14.737876355649528,-6.981489683367132,-6.664034820229923,-3.7139129972482836,ok
000029,3.209000599999854,8,8,all,weighted_lstsq,3,8.778783934034399,8.713678948251108,8.713678948251108,-7.925823205194201,-9.578990469783912,-4.374841685227865,ok
000030,3.318571999989217,8,8,all,weighted_lstsq,3,8.778783934034399,13.837534198612456,13.837534198612456,-5.457679038179722,-10.468586610823875,-0.49245568890511626,ok
000031,3.42718669999158,8,8,all,weighted_lstsq,3,8.778783934034399,16.008168204375004,16.008168204375004,-5.7263474102208,-11.549077183001682,-0.11406253144238343,ok
