batch,sample,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_freq_mhz,peak_01_raw,peak_01_spike_sig,peak_02,peak_02_freq_mhz,peak_02_raw,peak_02_spike_sig,peak_03,peak_03_freq_mhz,peak_03_raw,peak_03_spike_sig,peak_04,peak_04_freq_mhz,peak_04_raw,peak_04_spike_sig,pk1_z_minus,pk1_z_plus,pk1_lockin_signal,pk1_delta_f_mhz,pk1_peak_shift_kHz,pk1_f0_mhz,pk1_f_new_mhz,pk1_B_shift_uT,pk2_z_minus,pk2_z_plus,pk2_lockin_signal,pk2_delta_f_mhz,pk2_peak_shift_kHz,pk2_f0_mhz,pk2_f_new_mhz,pk2_B_shift_uT,z_minus,z_plus,lockin_signal,delta_f_mhz,peak_shift_kHz,f_new_mhz,B_shift_uT
490,0,8.56297364551574,1787090046.139339,0.015235125087201595,1793.216357421875,2794.0895817609085,1793.216357421875,False,1798.9643039279513,2800.0895794720896,1798.9643039279513,False,1792.0739067925347,2944.8173197317374,1792.0739067925347,False,1802.7653727213542,2950.8173174429194,1802.7653727213542,False,0.9495254785812267,0.9525690720854083,0.0030435935041815965,-0.051740285849751225,-51.740285849751224,2797.1459848103937,2797.0942445245437,-1.8462848219294614,0.9489205398764854,0.954581774930906,0.005661235054420621,-0.11061088684858321,-110.6108868485832,2947.8450790264806,2947.734468139632,-3.9470056683051387,0.9495254785812267,0.9525690720854083,0.0030435935041815965,-0.051740285849751225,-51.740285849751224,2797.0942445245437,-1.8462848219294614
491,0,8.578160854522139,1787090046.154437,0.015042124781757593,1798.8693440755208,2794.0895817609085,1798.8693440755208,False,1796.0583658854168,2800.0895794720896,1796.0583658854168,False,1795.0134874131945,2944.8173197317374,1795.0134874131945,False,1802.5529486762152,2950.8173174429194,1802.5529486762152,False,0.952518789921211,0.9510303496668084,-0.0014884402544025344,0.11457183456635056,114.57183456635056,2797.1459848103937,2797.26055664496,4.08834693713783,0.9504770763669694,0.954469294335752,0.003992217968782574,-0.048691033197756105,-48.691033197756106,2947.8450790264806,2947.7963879932827,-1.7374762060289788,0.952518789921211,0.9510303496668084,-0.0014884402544025344,0.11457183456635056,114.57183456635056,2797.26055664496,4.08834693713783
492,0,8.593341562547721,1787090046.1696908,0.015196374850347638,1792.374991861979,2794.0895817609085,1792.374991861979,False,1792.2372938368055,2800.0895794720896,1792.2372938368055,False,1792.208091905382,2944.8173197317374,1792.208091905382,False,1798.0948052300348,2950.8173174429194,1798.0948052300348,False,0.9490799673451644,0.9490070549033883,-7.291244177609624e-05,0.06262618619602209,62.62618619602209,2797.1459848103937,2797.20861099659,2.234734020697334,0.9489915921970642,0.9521086640795099,0.003117071882445699,-0.016223470070109876,-16.223470070109876,2947.8450790264806,2947.8288555564104,-0.5789134338463415,0.9490799673451644,0.9490070549033883,-7.291244177609624e-05,0.06262618619602209,62.62618619602209,2797.20861099659,2.234734020697334
493,0,8.608835291466676,1787090046.185426,0.015663916943594813,1791.0788140190969,2794.0895817609085,1791.0788140190969,False,1793.2759223090281,2800.0895794720896,1793.2759223090281,False,1789.5642985026038,2944.8173197317374,1789.5642985026038,False,1792.9332682291667,2950.8173174429194,1792.9332682291667,False,0.9483936285877161,0.949557018767522,0.0011633901798058233,0.017257567729351504,17.257567729351504,2797.1459848103937,2797.163242378123,0.6158138641646983,0.9475916779113993,0.9493755801040714,0.0017839021926721044,0.033236582072461024,33.236582072461026,2947.8450790264806,2947.878315608553,1.1860042132622404,0.9483936285877161,0.949557018767522,0.0011633901798058233,0.017257567729351504,17.257567729351504,2797.163242378123,0.6158138641646983
494,0,8.624508562497795,1787090046.201031,0.015536874998360872,1792.0187418619794,2794.0895817609085,1792.0187418619794,False,1793.0790608723958,2800.0895794720896,1793.0790608723958,False,1790.0660346137151,2944.8173197317374,1790.0660346137151,False,1794.7540771484378,2950.8173174429194,1794.7540771484378,False,0.948891329509945,0.9494527787247301,0.0005614492147850703,0.03934700562647603,39.347005626476026,2797.1459848103937,2797.18533181602,1.4040467323178714,0.9478573520555441,0.9503397161121555,0.002482364056611397,0.0073239315861591365,7.323931586159136,2947.8450790264806,2947.8524029580667,0.261344975241191,0.948891329509945,0.9494527787247301,0.0005614492147850703,0.03934700562647603,39.347005626476026,2797.18533181602,1.4040467323178714
495,0,8.6399241250474,1787090046.2162628,0.015163499861955643,1788.1020968967011,2794.0895817609085,1788.1020968967011,False,1794.1588053385417,2800.0895794720896,1794.1588053385417,False,1791.7436225043402,2944.8173197317374,1791.7436225043402,False,1794.809814453125,2950.8173174429194,1794.809814453125,False,0.9468174279588598,0.9500245139070016,0.0032070859481417857,-0.057739970864349295,-57.739970864349296,2797.1459848103937,2797.088244839529,-2.060375780200874,0.948745651137869,0.950369229556358,0.0016235784184890356,0.03918452875292823,39.18452875292823,2947.8450790264806,2947.8842635552337,1.3982489563562743,0.9468174279588598,0.9500245139070016,0.0032070859481417857,-0.057739970864349295,-57.739970864349296,2797.088244839529,-2.060375780200874
496,0,8.655122875003144,1787090046.231425,0.015096915885806084,1790.3171386718755,2794.0895817609085,1790.3171386718755,False,1795.8833441840277,2800.0895794720896,1795.8833441840277,False,1793.2878689236109,2944.8173197317374,1793.2878689236109,False,1794.9936686197918,2950.8173174429194,1794.9936686197918,False,0.9479903140932879,0.9509376739759551,0.0029473598826671443,-0.048208798993751,-48.208798993751,2797.1459848103937,2797.0977760114,-1.7202683055149515,0.9495633446159797,0.9504665821233649,0.0009032375073851906,0.06590888297198773,65.90888297198772,2947.8450790264806,2947.9109879094526,2.351872786611038,0.9479903140932879,0.9509376739759551,0.0029473598826671443,-0.048208798993751,-48.208798993751,2797.0977760114,-1.7202683055149515
497,0,8.670651708496734,1787090046.2473202,0.015828417148441076,1793.4244167751738,2794.0895817609085,1793.4244167751738,False,1799.5663302951386,2800.0895794720896,1799.5663302951386,False,1795.1973659939235,2944.8173197317374,1795.1973659939235,False,1796.5811252170138,2950.8173174429194,1796.5811252170138,False,0.9496356480296575,0.9528878508942543,0.0032522028645968204,-0.059395627119791024,-59.39562711979102,2797.1459848103937,2797.0865891832736,-2.1194557208032765,0.9505744418614592,0.9513071558103968,0.0007327139489375911,0.07223523749163431,72.23523749163431,2947.8450790264806,2947.917314263972,2.577620521397171,0.9496356480296575,0.9528878508942543,0.0032522028645968204,-0.059395627119791024,-59.39562711979102,2797.0865891832736,-2.1194557208032765
498,0,8.686342333443463,1787090046.2628102,0.015421167016029358,1790.209375,2794.0895817609085,1790.209375,False,1795.6877143012152,2800.0895794720896,1795.6877143012152,False,1792.7132568359375,2944.8173197317374,1792.7132568359375,False,1799.7522867838543,2950.8173174429194,1799.7522867838543,False,0.9479332521823324,0.950834086052873,0.002900833870540631,-0.04650143313033275,-46.50143313033276,2797.1459848103937,2797.0994833772634,-1.6593431747906349,0.9492590819344084,0.9529863166612055,0.003727234726797035,-0.03886026291693912,-38.86026291693912,2947.8450790264806,2947.8062187635637,-1.3866779516464145,0.9479332521823324,0.950834086052873,0.002900833870540631,-0.04650143313033275,-46.50143313033276,2797.0994833772634,-1.6593431747906349
499,0,8.701987021020614,1787090046.278603,0.015701291849836707,1802.888267686632,2794.0895817609085,1802.888267686632,False,1801.5300944010414,2800.0895794720896,1801.5300944010414,False,1801.3761908637152,2944.8173197317374,1801.3761908637152,False,1808.7863172743055,2950.8173174429194,1808.7863172743055,False,0.9546468490086868,0.9539276830621689,-0.0007191659465178857,0.08634176212181185,86.34176212181185,2797.1459848103937,2797.2323265725154,3.080993509913355,0.9538461896443055,0.9577699235525099,0.003923733908204441,-0.04615030246174252,-46.15030246174253,2947.8450790264806,2947.798928724019,-1.6468135334621226,0.9546468490086868,0.9539276830621689,-0.0007191659465178857,0.08634176212181185,86.34176212181185,2797.2323265725154,3.080993509913355
