rep,trial,column,sigma
60,1,delta_f_mhz_b08,0.07127869523564656
60,1,delta_Bx_uT,1.5389234273992796
60,1,delta_By_uT,5.4833254319004325
60,1,delta_Bz_uT,1.3212290555150232
60,1,delta_B_mag_uT,3.8651649348168875
60,2,peak_01,0.5713617289389237
60,2,peak_02,0.59675726610654
60,2,peak_03,0.595847660225309
60,2,peak_04,0.613797450783797
60,2,peak_05,0.5928165131635225
60,2,peak_06,0.5737572518182853
60,2,peak_07,0.5540522808671346
60,2,peak_08,0.5369288378615867
60,2,peak_09,0.5425285251309521
60,2,peak_10,0.536308352758505
60,2,peak_11,0.5432216818912822
60,2,peak_12,0.5475054802169029
60,2,peak_13,0.5439984554360442
60,2,peak_14,0.5389734192748024
60,2,peak_15,0.5301749801069754
60,2,peak_16,0.5507819810744491
60,2,delta_f_mhz_b01,0.06306206416968187
60,2,delta_f_mhz_b02,0.04270074534885921
60,2,delta_f_mhz_b03,0.13501428886527422
60,2,delta_f_mhz_b04,0.1618035077789838
60,2,delta_f_mhz_b05,0.1262315561925297
60,2,delta_f_mhz_b06,0.1653991799634936
60,2,delta_f_mhz_b07,0.04712137518997569
60,2,delta_f_mhz_b08,0.06397938003867938
60,2,delta_Bx_uT,1.400637720501428
60,2,delta_By_uT,4.862492620094761
60,2,delta_Bz_uT,1.3201605761235735
60,2,delta_B_mag_uT,3.640558630197054
60,3,peak_01,0.514538847885977
60,3,peak_02,0.5127270523891609
60,3,peak_03,0.49355379775146274
60,3,peak_04,0.4892690784809535
60,3,peak_05,0.4925146853787561
60,3,peak_06,0.5327375760854058
60,3,peak_07,0.5524800873466882
60,3,peak_08,0.5707947502391073
60,3,peak_09,0.5575238018763891
60,3,peak_10,0.5504082352771532
60,3,peak_11,0.5537041418636681
60,3,peak_12,0.5566790104465369
60,3,peak_13,0.5722475554354529
60,3,peak_14,0.5603877563776347
60,3,peak_15,0.5484749848646656
60,3,peak_16,0.5287057244281463
60,3,delta_f_mhz_b01,0.062486195220488004
60,3,delta_f_mhz_b02,0.040312002390923966
60,3,delta_f_mhz_b03,0.15962452037606295
60,3,delta_f_mhz_b04,0.17608453401864438
60,3,delta_f_mhz_b05,0.13312621834451693
60,3,delta_f_mhz_b06,0.1829008700213307
60,3,delta_f_mhz_b07,0.04708882608529729
60,3,delta_f_mhz_b08,0.06402398083576429
60,3,delta_Bx_uT,1.3339277707218158
60,3,delta_By_uT,5.452652268904243
60,3,delta_Bz_uT,1.450876064498228
60,3,delta_B_mag_uT,3.728432847620973
70,1,peak_01,0.6490033982132055
70,1,peak_02,0.6684128697470955
70,1,peak_03,0.6874372632383078
70,1,peak_04,0.7322091919919875
70,1,peak_05,0.7477663228680486
70,1,peak_06,0.7167761237116588
70,1,peak_07,0.6929286746533777
70,1,peak_08,0.6595034292961233
70,1,peak_09,0.6524584346293172
70,1,peak_10,0.6369048966709673
70,1,peak_11,0.6113442899984397
70,1,peak_12,0.6265939386954872
70,1,peak_13,0.6299298478087638
70,1,peak_14,0.6236588348045083
70,1,peak_15,0.6369775131416339
70,1,peak_16,0.6361121153511903
70,1,delta_f_mhz_b01,0.06801255169827318
70,1,delta_f_mhz_b02,0.05173270419035659
70,1,delta_f_mhz_b03,0.14545801290412966
70,1,delta_f_mhz_b04,0.16087656350754623
70,1,delta_f_mhz_b05,0.16119806111035384
70,1,delta_f_mhz_b06,0.16192767225865295
70,1,delta_f_mhz_b07,0.04726160697248114
70,1,delta_f_mhz_b08,0.07400624228016126
70,1,delta_Bx_uT,1.6667455136293672
70,1,delta_By_uT,4.712704536463492
70,1,delta_Bz_uT,1.2342778462671278
70,1,delta_B_mag_uT,3.7129793065733403
70,2,peak_01,0.5548209165974443
70,2,peak_02,0.5565695443757311
70,2,peak_03,0.5837665596195049
70,2,peak_04,0.6053934124131722
70,2,peak_05,0.5915953199566438
70,2,peak_06,0.5852413590476764
70,2,peak_07,0.5845576765719758
70,2,peak_08,0.5983956131001997
70,2,peak_09,0.5734629258291771
70,2,peak_10,0.5595027692382161
70,2,peak_11,0.5892859868014024
70,2,peak_12,0.5847823506172084
70,2,peak_13,0.5765058638513625
70,2,peak_14,0.576105372626006
70,2,peak_15,0.5616698102794232
70,2,peak_16,0.5460106649354702
70,2,delta_f_mhz_b01,0.05152037042789825
70,2,delta_f_mhz_b02,0.04492019683984747
70,2,delta_f_mhz_b03,0.1669779148768348
70,2,delta_f_mhz_b04,0.1479931255958008
70,2,delta_f_mhz_b05,0.1636008905106691
70,2,delta_f_mhz_b06,0.14554172083223482
70,2,delta_f_mhz_b07,0.04736424980577949
70,2,delta_f_mhz_b08,0.07164397672314059
70,2,delta_Bx_uT,1.4880883105123202
70,2,delta_By_uT,4.440657870912058
70,2,delta_Bz_uT,1.330262572845342
70,2,delta_B_mag_uT,3.004530483055509
70,3,peak_01,0.5104117787695052
70,3,peak_02,0.5038667462201268
70,3,peak_03,0.5095023852435329
70,3,peak_04,0.5225273619043579
70,3,peak_05,0.5354514139213528
70,3,peak_06,0.5332999301097016
70,3,peak_07,0.5384103863606166
70,3,peak_08,0.5611719200270501
70,3,peak_09,0.5588662488852819
70,3,peak_10,0.5610898477729794
70,3,peak_11,0.562134516039417
70,3,peak_12,0.573023974262133
70,3,peak_13,0.5746625699791611
70,3,peak_14,0.5686192931012549
70,3,peak_15,0.5615811177560739
70,3,peak_16,0.5325725304589687
70,3,delta_f_mhz_b01,0.05913301827824598
70,3,delta_f_mhz_b02,0.04194651454412358
70,3,delta_f_mhz_b03,0.12948944143156574
70,3,delta_f_mhz_b04,0.16124345654883793
70,3,delta_f_mhz_b05,0.13658166510854544
70,3,delta_f_mhz_b06,0.16739417580513857
70,3,delta_f_mhz_b07,0.05118835732107169
70,3,delta_f_mhz_b08,0.06616653051308653
70,3,delta_Bx_uT,1.4456416379843142
70,3,delta_By_uT,5.31451817784903
70,3,delta_Bz_uT,1.2727858875102092
70,3,delta_B_mag_uT,3.7533223261963267
80,1,peak_01,0.674565498863053
80,1,peak_02,0.6928940005041638
80,1,peak_03,0.7342852104336305
80,1,peak_04,0.7532978072721827
80,1,peak_05,0.7475272217530533
80,1,peak_06,0.7183556276500802
80,1,peak_07,0.7137649714890895
80,1,peak_08,0.6890040539830353
80,1,peak_09,0.6801963464157278
80,1,peak_10,0.6581032004287591
80,1,peak_11,0.6558058593456141
80,1,peak_12,0.6820795452018668
80,1,peak_13,0.6776456361357039
80,1,peak_14,0.6748866139885326
80,1,peak_15,0.6547423821133352
80,1,peak_16,0.6696001640842838
80,1,delta_f_mhz_b01,0.06624357941174927
80,1,delta_f_mhz_b02,0.05216377699682403
80,1,delta_f_mhz_b03,0.139979410302864
80,1,delta_f_mhz_b04,0.1822667947633704
80,1,delta_f_mhz_b05,0.14605240427083657
80,1,delta_f_mhz_b06,0.18050127026384535
80,1,delta_f_mhz_b07,0.04607388687664471
80,1,delta_f_mhz_b08,0.06404585922745587
80,1,delta_Bx_uT,1.4422299017235982
80,1,delta_By_uT,5.319427691583502
80,1,delta_Bz_uT,1.2913074991034548
80,1,delta_B_mag_uT,3.864320735133799
80,2,peak_01,0.5525050721726356
80,2,peak_02,0.5206686656205513
80,2,peak_03,0.5428845833178783
80,2,peak_04,0.5544620133259203
80,2,peak_05,0.541459648479633
80,2,peak_06,0.5542723234345236
80,2,peak_07,0.5662610854529903
80,2,peak_08,0.5705648237132861
80,2,peak_09,0.5682299492730528
80,2,peak_10,0.5614884829357499
80,2,peak_11,0.5599498223554491
80,2,peak_12,0.571604814289235
80,2,peak_13,0.5716511861077028
80,2,peak_14,0.5934146176569962
80,2,peak_15,0.5878803799462314
80,2,peak_16,0.5699976362028067
80,2,delta_f_mhz_b01,0.06280762596960163
80,2,delta_f_mhz_b02,0.054403524192261375
80,2,delta_f_mhz_b03,0.15547897976337255
80,2,delta_f_mhz_b04,0.16547909022955076
80,2,delta_f_mhz_b05,0.14878565865975366
80,2,delta_f_mhz_b06,0.2193683818644846
80,2,delta_f_mhz_b07,0.05470140023105082
80,2,delta_f_mhz_b08,0.06076568668573781
80,2,delta_Bx_uT,1.5243616769685788
80,2,delta_By_uT,5.468729254289636
80,2,delta_Bz_uT,1.4769421771019133
80,2,delta_B_mag_uT,4.021624570127658
80,3,peak_01,0.5801211565531041
80,3,peak_02,0.5896348109350409
80,3,peak_03,0.6143981609966279
80,3,peak_04,0.6381803762230575
80,3,peak_05,0.634354408458063
80,3,peak_06,0.6340540125903277
80,3,peak_07,0.6455570622141934
80,3,peak_08,0.6484911681994261
80,3,peak_09,0.6471388474321084
80,3,peak_10,0.6413634836237334
