batch,sample,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_freq_mhz,peak_01_raw,peak_01_spike_sig,peak_02,peak_02_freq_mhz,peak_02_raw,peak_02_spike_sig,z_minus,z_plus,lockin_signal,delta_f_mhz,peak_shift_kHz,f_new_mhz,B_shift_uT
12,0,0.14855134999379516,1786042458.3584678,0.011757100000977516,-1972.0836428608445,2809.1916999043146,-1972.0836428608445,False,-1974.1194419601031,2817.191696852557,-1974.1194419601031,False,-0.9634454283442286,-0.9644400014407138,-0.0009945730964852073,0.1770874539239772,177.0874539239772,2813.356649959829,6.319135523978633
13,0,0.16053030001057778,1786042458.3704693,0.01211799998418428,-1974.4646633647444,2809.1916999043146,-1974.4646633647444,False,-1974.4434192568417,2817.191696852557,-1974.4434192568417,False,-0.9646086565508926,-0.9645982779147164,1.0378636176144873e-05,-0.006119762885331187,-6.119762885331187,2813.17344274302,-0.2183757809495856
14,0,0.172195550010656,1786042458.3814611,0.011117699992610142,-1980.5429161279008,2809.1916999043146,-1980.5429161279008,False,-1984.9977561193427,2817.191696852557,-1984.9977561193427,False,-0.9675781375149395,-0.9697545133696337,-0.0021763758546942125,0.3925354074049399,392.5354074049399,2813.5720979133102,14.007115593953037
15,0,0.1833823500055587,1786042458.3934615,0.011184099974343553,-1976.5903738383581,2809.1916999043146,-1976.5903738383581,False,-1977.4496512250648,2817.191696852557,-1977.4496512250648,False,-0.965647155118233,-0.9660669480985659,-0.00041979298033290036,0.07230245586369687,72.30245586369686,2813.251864961769,2.5800191215992316
16,0,0.1948621500050649,1786042458.4044619,0.011669499974232167,-1983.8238065305763,2809.1916999043146,-1983.8238065305763,False,-1983.2856054092342,2817.191696852557,-1983.2856054092342,False,-0.9691809898436423,-0.9689180560620231,0.00026293378161923453,-0.052161700805040755,-52.16170080504075,2813.1274008051005,-1.861322466637195
17,0,0.2067123500019079,1786042458.4164639,0.01192849999642931,-1979.2558429270243,2809.1916999043146,-1979.2558429270243,False,-1981.3610269092921,2817.191696852557,-1981.3610269092921,False,-0.9669493483680807,-0.9679778188849788,-0.001028470516898139,0.18326710598987497,183.26710598987498,2813.362829611895,6.539648372461996
18,0,0.21816460000991356,1786042458.427467,0.010886599979130551,-1979.9320609814597,2809.1916999043146,-1979.9320609814597,False,-1984.0893824643751,2817.191696852557,-1984.0893824643751,False,-0.9672797092001214,-0.9693107348066529,-0.002031025606531456,0.36603740400539314,366.0374040053931,2813.545599909911,13.061568798365442
19,0,0.229437850008253,1786042458.4394693,0.011588099994696677,-1964.7395344263252,2809.1916999043146,-1964.7395344263252,False,-1967.0233982864909,2817.191696852557,-1967.0233982864909,False,-0.959857523884843,-0.960973287003209,-0.001115763118366031,0.19918093950367402,199.180939503674,2813.378743445409,7.1075128284211395
20,0,0.24116445000981912,1786042458.4514933,0.011756899999454618,-1968.4263705479527,2809.1916999043146,-1968.4263705479527,False,-1973.7432281582107,2817.191696852557,-1973.7432281582107,False,-0.9616586976937204,-0.9642562052468631,-0.002597507553142697,0.4693096084689061,469.3096084689061,2813.648872114374,16.74670312835092
21,0,0.2530287999979919,1786042458.4630055,0.011869400012074038,-1974.3569690534496,2809.1916999043146,-1974.3569690534496,False,-1973.750258142622,2817.191696852557,-1973.750258142622,False,-0.9645560433707917,-0.9642596396885851,0.00029640368220662516,-0.058263414085599284,-58.26341408559929,2813.1212990918198,-2.0790541709106223
22,0,0.2647162500070408,1786042458.4750054,0.011411499988753349,-1967.2449537602442,2809.1916999043146,-1967.2449537602442,False,-1970.9680647343291,2817.191696852557,-1970.9680647343291,False,-0.9610815261284029,-0.9629004217214908,-0.0018188955930878992,0.3273651493073544,327.3651493073544,2813.5069276552126,11.681599675540765
23,0,0.27627585000300314,1786042458.486002,0.011613299982855096,-1971.7577685314511,2809.1916999043146,-1971.7577685314511,False,-1971.1782792086553,2817.191696852557,-1971.1782792086553,False,-0.9632862250903477,-0.9630031202936303,0.00028310479671733724,-0.05583896749978582,-55.838967499785824,2813.1237235384056,-1.9925409470377469
24,0,0.28805640000791755,1786042458.4980054,0.011827799986349419,-1962.595390509654,2809.1916999043146,-1962.595390509654,False,-1961.5018226131604,2817.191696852557,-1961.5018226131604,False,-0.9588100198087824,-0.9582757661049526,0.0005342537038298678,-0.10162454185263031,-101.62454185263032,2813.0779379640526,-3.6263396321949153
25,0,0.2997192500042729,1786042458.5100007,0.011376300011761487,-1965.947049200589,2809.1916999043146,-1965.947049200589,False,-1966.2535213045744,2817.191696852557,-1966.2535213045744,False,-0.9604474454092844,-0.9605971698637054,-0.00014972445442096305,0.023067749984751085,23.067749984751085,2813.20263025589,0.8231426628872068
26,0,0.31126129999756813,1786042458.5209992,0.011442999995779246,-1969.328312232306,2809.1916999043146,-1969.328312232306,False,-1973.5641070790223,2817.191696852557,-1973.5641070790223,False,-0.9620993339697571,-0.9641686971000921,-0.0020693631303350113,0.3730265068718657,373.0265068718657,2813.5525890127774,13.310965846127095
27,0,0.32253360000322573,1786042458.532006,0.010993200005032122,-1967.7328007909723,2809.1916999043146,-1967.7328007909723,False,-1971.8865674140955,2817.191696852557,-1971.8865674140955,False,-0.961319859828491,-0.9633491487371761,-0.002029288908685145,0.36572079618382275,365.72079618382276,2813.545283302089,13.05027105994229
28,0,0.33356180001283064,1786042458.5430102,0.010983599990140647,-1972.0298780982102,2809.1916999043146,-1972.0298780982102,False,-1971.3109658454384,2817.191696852557,-1971.3109658454384,False,-0.9634191620066148,-0.9630679432711312,0.00035121873548360494,-0.0682564446200454,-68.2564446200454,2813.111306061285,-2.4356424714546603
29,0,0.34505085001001135,1786042458.5555203,0.011917099996935576,-1984.423177818738,2809.1916999043146,-1984.423177818738,False,-1984.7343057923615,2817.191696852557,-1984.7343057923615,False,-0.9694738078128753,-0.9696258068545502,-0.00015199904167495504,0.023482417462451954,23.482417462451952,2813.203044923368,0.8379395326310289
30,0,0.356903850013623,1786042458.5665243,0.011709499987773597,-1966.9862463471325,2809.1916999043146,-1966.9862463471325,False,-1967.1450721669762,2817.191696852557,-1967.1450721669762,False,-0.9609551367253248,-0.9610327297881675,-7.759306284260692e-05,0.009917873163645898,9.917873163645897,2813.1894803790688,0.35390640749521474
31,0,0.3693277999991551,1786042458.5795317,0.013003600004594773,-1973.8233321062974,2809.1916999043146,-1973.8233321062974,False,-1973.3204131345094,2817.191696852557,-1973.3204131345094,False,-0.9642953393793608,-0.9640496424050207,0.00024569697434018156,-0.04901935338113928,-49.01935338113928,2813.1305431525243,-1.7491918848536712
32,0,0.38186270000005607,1786042458.5915241,0.011988599988399073,-1981.2024648799788,2809.1916999043146,-1981.2024648799788,False,-1982.5541601162008,2817.191696852557,-1982.5541601162008,False,-0.9679003546948548,-0.968560714411628,-0.0006603597167732511,0.11615885294997062,116.15885294997062,2813.295721358855,4.144977624535064
33,0,0.39383314999577124,1786042458.6035235,0.011851699993712828,-1978.2489325453726,2809.1916999043146,-1978.2489325453726,False,-1974.868076827497,2817.191696852557,-1974.868076827497,False,-0.9664574304884985,-0.9648057409178911,0.001651689570607462,-0.30533812178056036,-305.33812178056036,2812.874224384125,-10.895593840299755
