batch,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_ref,peak_01_freq_mhz,peak_01_raw,peak_01_ref_raw,peak_01_spike_sig,peak_01_spike_ref,peak_02,peak_02_ref,peak_02_freq_mhz,peak_02_raw,peak_02_ref_raw,peak_02_spike_sig,peak_02_spike_ref,z_minus,z_plus,lockin_signal,f0_mhz,delta_f_mhz,peak_shift_kHz,delta_f_linear_mhz,peak_shift_linear_kHz,B_shift_nT,B_shift_linear_nT
176,18.08219458349049,1785869712.4708512,0.009542166953906417,-5582.529091909404,-5574.016875019102,2930.2169026906186,-5582.529091909404,-5574.016875019102,False,False,-5624.811581135191,-5621.6964590274165,2936.2169004017996,-5624.811581135191,-5621.6964590274165,False,False,-1.001527124348771,-1.0005541249212722,0.000972999427498733,2931.1344952671298,-2.0824062383831006,-2082.4062383831006,-0.10262291418388626,-102.62291418388627,-74307.958834681,-3661.9652506382477
177,18.18337562546367,1785869712.572005,0.009487667004577816,-5588.832761255616,-5575.032444906317,2930.2169026906186,-5588.832761255616,-5575.032444906317,False,False,-5625.191534981814,-5617.055370296788,2936.2169004017996,-5625.191534981814,-5617.055370296788,False,False,-1.0024753786611427,-1.0014484750725532,0.0010269035885894784,2932.2572753533227,-0.9596261521901397,-959.6261521901397,-0.10830822287105103,-108.30822287105103,-34243.01142556879,-3864.838098453148
178,18.282294749980792,1785869712.671089,0.0098214999306947,-5585.366228566189,-5574.777696610325,2930.2169026906186,-5585.366228566189,-5574.777696610325,False,False,-5629.358759971879,-5616.177965583642,2936.2169004017996,-5629.358759971879,-5616.177965583642,False,False,-1.0018993639804332,-1.002346933175731,-0.00044756919529787,2933.5875986466417,0.37069714112885777,370.69714112885777,0.047205428720903414,47.20542872090341,13227.845458494781,1684.4643420248149
179,18.38105862494558,1785869712.7698328,0.009786250069737434,-5585.179366995751,-5567.1872359935205,2930.2169026906186,-5585.179366995751,-5567.1872359935205,False,False,-5623.893848763641,-5621.221818932055,2936.2169004017996,-5623.893848763641,-5621.221818932055,False,False,-1.0032318171168926,-1.0004753468049574,0.0027564703119351552,,,,-0.290726806488643,-290.72680648864304,,-10374.208053405759
180,18.482032104453538,1785869712.871797,0.011713208979927003,-5583.512956566922,-5571.983548308219,2930.2169026906186,-5600.248141638904,-5590.045566525047,True,True,-5624.391560962192,-5618.779287526362,2936.2169004017996,-5635.333401595501,-5636.893081578384,True,True,-1.0020691748564483,-1.0009988421236422,0.0010703327328061008,2931.863988108223,-1.3529133972897398,-1352.9133972897398,-0.11288872437399132,-112.88872437399132,-48276.95537003068,-4028.2873384952654
181,18.593754187459126,1785869712.9823859,0.009465374983847141,-5585.179366995751,-5572.8713986612465,2930.2169026906186,-5573.082235535044,-5560.720637589021,True,True,-5624.425706819085,-5621.221818932055,2936.2169004017996,-5614.7671195403,-5602.300016810832,True,True,-1.0022085505754648,-1.0005699628995675,0.0016385876758973072,2930.058496234789,-3.1584052707239607,-3158.4052707239607,-0.17282296134397224,-172.82296134397222,-112703.58516714103,-6166.962651440631
182,18.693706437479705,1785869713.082386,0.009602125035598874,-5588.112181740378,-5568.595925665556,2930.2169026906186,-5588.112181740378,-5568.595925665556,False,False,-5630.044122321729,-5616.9532062841945,2936.2169004017996,-5630.044122321729,-5616.9532062841945,False,False,-1.0035046996290165,-1.0023306079927619,0.0011740916362545928,2932.5049604474043,-0.7119410581085504,-711.9410581085504,-0.1238322467887698,-123.83224678876981,-25404.690911666796,-4418.7927058510495
183,18.822937916964293,1785869713.2116961,0.009772334014996886,-5587.605558272458,-5567.828138276736,2930.2169026906186,-5587.605558272458,-5567.828138276736,False,False,-5624.8942613931595,-5617.534200874163,2936.2169004017996,-5624.8942613931595,-5617.534200874163,False,False,-1.0035520888045664,-1.0013101941627434,0.0022418946418230057,2931.3316884213186,-1.8852130841942198,-1885.2130841942198,-0.2364541591030869,-236.4541591030869,-67271.37754047316,-8437.5592029363
184,18.924137021473143,1785869713.3128479,0.009675375069491565,-5585.212936699575,-5571.983548308219,2930.2169026906186,-5574.633876883578,-5554.129145398417,True,True,-5624.811581135191,-5617.534200874163,2936.2169004017996,-5612.011747715254,-5603.065843445304,True,True,-1.0023742691048276,-1.0012954759153752,0.001078793189452476,2932.120910915012,-1.09599059050106,-1095.99059050106,-0.11378105451503634,-113.78105451503635,-39108.99909010348,-4060.128979269067
185,19.02531735447701,1785869713.413957,0.009533459087833762,-5586.094975089402,-5574.301500748846,2930.2169026906186,-5586.094975089402,-5574.301500748846,False,False,-5619.913841428004,-5617.422416480729,2936.2169004017996,-5619.913841428004,-5617.422416480729,False,False,-1.002115686483584,-1.0004435174645163,0.0016721690190677485,,,,-0.17636480854445394,-176.36480854445395,,-6293.348863276261
