time_s,z_minus,z_plus,lockin_signal,f0_mhz,peak_shift_kHz,peak_shift_linear_kHz,B_shift_nT
1.5462955420371145,-1.0035297562211407,-1.0010533508883823,0.0024764053327583,2930.7779012954175,-2439.0002100954007,-261.18816184850505,-87032.5510310948
1.652392125048209,-1.0016364797541848,-1.0012841141224404,0.0003523656317443,2932.782735830584,-434.1656749288631,-37.16424384839217,-15492.63755812386
1.7537856880226173,-1.0012143827927575,-1.0020708243461558,-0.0008564415533982,2934.1824113880134,965.5098825005552,90.32947559246809,34452.964690998975
1.8553651255206205,-1.0030276147339647,-1.0006497785167852,0.0023778362171795,,,-250.7920099050031,
1.9559867920470424,-1.0039504040039222,-1.0001218652231456,0.0038285387807766,,,-403.79860012770865,
2.0575184795306996,-1.0043561619230588,-1.000989896786541,0.0033662651365178,2929.673703321429,-3543.198184083849,-355.04228313156256,-126434.41992876993
2.155996458546724,-1.00213402576662,-1.0001032266734402,0.0020307990931798,,,-214.1897674079356,
2.2529532920452766,-1.003307568888734,-0.9999544065467748,0.0033531623419593,,,-353.66032244018015,
2.3815483130747452,-1.0030070500578152,-1.0003604171701557,0.0026466328876595,,,-279.14217833055494,
2.478713708522264,-1.0024070838150163,-1.000456683657609,0.0019504001574075,,,-205.71003673899116,
2.577746458526235,-1.0031112175171002,-1.000405143972158,0.0027060735449422,,,-285.41142505255067,
2.6783333965577185,-1.0037486977572396,-1.0004583667322184,0.0032903310250211,,,-347.0334605284754,
2.7807705210288987,-1.003792210441329,-0.9997404161041068,0.0040517943372223,,,-427.345516151169,
2.878429146541748,-1.002446273594206,-1.00059305169793,0.0018532218962761,2929.7494659758913,-3467.4355296215253,-195.460579164019,-123730.92811952345
2.9752531880512834,-1.0034084464694275,-1.0013133904933231,0.0020950559761043,2931.427843163287,-1789.0583422254167,-220.96698473789425,-63840.22060467516
3.073098167020362,-1.0018756554980268,-1.0008223354909815,0.0010533200070452,2931.6451113518124,-1571.7901537004764,-111.09438056818507,-56087.28781403355
3.169603979506064,-1.002421040575284,-1.001637905042606,0.0007831355326779,2932.5254707665026,-691.4307390102294,-82.59783951875298,-24672.806844498624
3.2664466670248657,-1.0025410772984895,-1.0004658578022028,0.0020752194962867,,,-218.87481766307303,
3.3646666045533493,-1.003286211955509,-1.0001464410266396,0.0031397709288694,,,-331.15378435373555,
3.4958498125197366,-1.0038746335138389,-1.0009629871148666,0.002911646398972,2930.13802148235,-3078.8800231630375,-307.09333437478693,-109865.83011572357
3.595597375591751,-1.0026595054067295,-1.0007421822429077,0.0019173231638218,2930.486247161099,-2730.6543444137787,-202.2213836336887,-97439.84957228728
3.6947456460329704,-1.0033658429467462,-1.0004136384828,0.0029522044639462,,,-311.37102118906904,
3.7922337920754217,-1.002598663650304,-1.0005844208695838,0.0020142427807203,,,-212.44356182475892,
3.8907518125488423,-1.0031469789812344,-1.0006055497094266,0.0025414292718077,,,-268.04628111185536,
3.990701875009108,-1.0032731730744704,-1.0015458654532048,0.0017273076212656,2931.8566075628273,-1360.29394268553,-182.18031457831785,-48540.320535452825
4.091705083556008,-1.0041434601803048,-1.001044404464515,0.0030990557157897,2930.221229929004,-2995.671576508812,-326.8595230214417,-106896.64489397702
4.191907771048136,-1.0025602691477709,-1.000018277498994,0.0025419916487767,,,-268.10559539488247,
4.285659479559399,-1.0034525653506974,-1.0009808313206354,0.0024717340300619,2930.619522214342,-2597.3792911709097,-260.6954763625792,-92684.10259673528
4.380396063090302,-1.0027779275338429,-1.0005543113079929,0.0022236162258499,,,-234.52632208612525,
4.4764723750413395,-1.0041683701183677,-1.0016868046374376,0.0024815654809298,2931.5524068333143,-1664.4946721985434,-261.7324062005629,-59395.32801165227
4.602401437994558,-1.0014235815232368,-1.0000570041910668,0.00136657733217,,,-144.1338446060668,
4.697868396004196,-1.0033491378827264,-1.0011527855809803,0.002196352301746,2931.157875356908,-2059.0261486049712,-231.6507773894332,-73473.6707324069
4.795876604563091,-1.0014535113520031,-1.0031710976593546,-0.0017175863073515,2934.639982637743,1423.0811322299814,181.15500095988625,50780.79975128395
4.896493083506357,-1.0034686707120424,-0.9998104210567156,0.0036582496553267,,,-385.8380897578386,
4.994981584022753,-1.0020665364754198,-0.998986356045118,0.0030801804303016,,,-324.8687337690633,
5.1007539795245975,-1.0037597026037457,-0.999835754228503,0.0039239483752424,,,-413.8615152214514,
5.205368791997898,-1.0025243938937525,-1.001153039015822,0.0013713548779301,2931.768048461192,-1448.8530443209129,-144.6377356204837,-51700.43692267031
5.304417000093963,-1.0020394326805075,-1.001395061798555,0.0006443708819525,2932.539423225245,-677.4782802676782,-67.9622370295082,-24174.93149684835
5.403539313003421,-1.0018447244217137,-0.9994667752804434,0.0023779491412703,,,-250.8039200859819,
5.503009834035765,-1.0032527498917672,-0.999722990635758,0.0035297592560092,,,-372.2861195819684,
5.633095313038211,-1.0025886564501705,-1.0009861260987791,0.0016025303513911,2931.3690906426623,-1847.8108628505652,-169.0199707008976,-65936.7279064575
5.739787750528194,-1.003889054489468,-0.9991505766928463,0.0047384777966213,,,-499.7704896236527,
5.841677313030232,-1.0019080799041502,-1.0000104834138115,0.0018975964903387,,,-200.1407979079625,
5.9439314375049435,-1.0025003197681586,-1.0015435719281491,0.0009567478400094,2932.3581925076214,-858.7089978914264,-100.9088481514402,-30641.913998409447
6.042176333547104,-1.005057423440035,-1.0008255821380123,0.0042318413020223,,,-446.3351925019781,
6.142781875561923,-1.0026328429516131,-1.0010424759098526,0.0015903670417605,2931.461000667948,-1755.9008375646954,-167.7370981265307,-62657.038166025384
6.242304562532809,-1.0033543779856704,-1.0001772944137184,0.003177083571952,,,-335.0891743044567,
6.342867292056326,-1.0023171103588515,-1.0002647758118783,0.0020523345469734,,,-216.46112642841143,
6.440329104545526,-1.002445765626138,-1.0018100953174314,0.0006356703087064,2932.687944443606,-528.9570619070219,-67.04458162668995,-18875.14494387032
6.537520125566516,-1.0018320731093124,-0.999749772823532,0.0020823002857803,,,-219.6216333671956,
6.664164667017758,-1.002303319283941,-1.000827059579713,0.0014762597042279,2931.2055547690693,-2011.3467364435564,-155.7021193008489,-71772.29290763475
6.762694500561338,-1.002715504443863,-1.000448642552401,0.0022668618914618,,,-239.08747197530496,
6.861283146077767,-1.0028011821406186,-1.0008465075777742,0.0019546745628444,2930.7675176774655,-2449.383828047303,-206.1608611998736,-87403.07693574445
6.9602399585419334,-1.0015296820518722,-1.0020833463431675,-0.0005536642912953,2933.7644519003793,547.5503948664482,58.39535095945766,19538.623853355988
7.058562021527905,-1.0040996080023352,-1.000684523929054,0.0034150840732811,,,-360.19124973567165,
7.156943354522809,-1.0028038789030145,-1.000192393136434,0.0026114857665802,,,-275.43518746458574,
7.257899229589384,-1.0036924308466528,-1.000766308501682,0.0029261223449708,,,-308.6201222864533,
7.356501166999806,-1.0038491788626296,-1.0024737463327416,0.001375432529888,2932.4458132155823,-771.0882899305034,-145.0678083575452,-27515.282969258613
7.454927396029234,-1.003559714951464,-1.000702982907972,0.0028567320434917,,,-301.3014797953946,
7.553387813037261,-1.0030283420930195,-1.0003004187637523,0.0027279233292669,,,-287.7159367288379,
7.680749000515789,-1.003082640654868,-1.0001831900881872,0.0028994505666808,,,-305.80703161319707,
7.782027188048232,-1.0036487909522722,-0.9998289714789204,0.0038198194733517,,,-402.87896881826055,
7.8824362710583955,-1.0024756303255955,-1.0014896637314956,0.0009859665940998,2932.3098842414447,-907.0172640681448,-103.99057010197645,-32365.731661010017
