batch,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_ref,peak_01_freq_mhz,peak_02,peak_02_ref,peak_02_freq_mhz,peak_03,peak_03_ref,peak_03_freq_mhz,peak_04,peak_04_ref,peak_04_freq_mhz,peak_05,peak_05_ref,peak_05_freq_mhz,peak_06,peak_06_ref,peak_06_freq_mhz,peak_07,peak_07_ref,peak_07_freq_mhz,peak_08,peak_08_ref,peak_08_freq_mhz,peak_09,peak_09_ref,peak_09_freq_mhz,peak_10,peak_10_ref,peak_10_freq_mhz,peak_11,peak_11_ref,peak_11_freq_mhz,peak_12,peak_12_ref,peak_12_freq_mhz,peak_13,peak_13_ref,peak_13_freq_mhz,peak_14,peak_14_ref,peak_14_freq_mhz,peak_15,peak_15_ref,peak_15_freq_mhz,peak_16,peak_16_ref,peak_16_freq_mhz,delta_f_mhz_b01,f_new_mhz_b01,delta_f_mhz_b02,f_new_mhz_b02,delta_f_mhz_b03,f_new_mhz_b03,delta_f_mhz_b04,f_new_mhz_b04,delta_f_mhz_b05,f_new_mhz_b05,delta_f_mhz_b06,f_new_mhz_b06,delta_f_mhz_b07,f_new_mhz_b07,delta_f_mhz_b08,f_new_mhz_b08
40,3.010948854032904,1778252250.148994,0.013010458089411259,6608.362609652473,6614.237974141883,2627.9999897003177,6614.5117629978295,6619.80487208485,2630.999988555908,6593.00016352355,6600.722959012133,2762.9999382019046,6584.5314866888775,6594.264882171349,2770.9999351501465,6590.610846043342,6596.056174160223,2802.9999229431155,6590.256290307791,6595.835597701502,2807.999921035767,6594.364316716082,6597.558506281139,2837.999909591675,6602.857509857262,6603.716904055997,2842.9999076843264,6568.666757343277,6579.507609193997,2877.999894332886,6536.19915640187,6554.294021456735,2880.9998931884766,6559.720061435951,6574.859079377694,2877.999894332886,6554.053479842283,6572.229388391356,2881.9998928070067,6577.697403490541,6585.537301708592,2938.9998710632326,6585.513005471161,6592.995846196168,2943.999869155884,6570.580800501269,6580.432234006784,2970.999858856201,6571.433756151237,6583.499130421493,2977.9998561859134,-0.10856398318612397,2673.793053920081,0.002720689846875316,2799.5265561879314,0.07883347595518285,2799.6026689740397,0.8444590880270488,2837.647206074151,-0.6007498353577954,2836.201997150766,-0.3170173919787838,2836.485729594145,0.44683773707419244,2941.5433179401407,0.039365468432612134,2973.391915446259
41,3.0864925000350922,1778252250.224355,0.012645666021853685,6607.630293119784,6615.243738729101,2627.9999897003177,6615.080007335637,6619.4819528074095,2630.999988555908,6594.343592016383,6598.678255952563,2762.9999382019046,6583.682056728916,6593.09400006113,2770.9999351501465,6589.661197542562,6593.833042454993,2802.9999229431155,6588.198430479568,6591.310890362809,2807.999921035767,6593.110210288229,6598.208197573127,2837.999909591675,6600.179565669224,6604.346651587859,2842.9999076843264,6571.398649020387,6580.603333129565,2877.999894332886,6540.19625729743,6559.5891570131735,2880.9998931884766,6557.410257664211,6577.218048720849,2877.999894332886,6555.995638353151,6572.924916709967,2881.9998928070067,6576.398797261363,6584.92644955222,2938.9998710632326,6585.213839899746,6590.88284378152,2943.999869155884,6567.6911513891855,6578.41173243268,2970.999858856201,6570.083688907907,6583.241392853868,2977.9998561859134,-0.32270984204507014,2673.578908061222,0.10467295082530698,2799.62850844891,-0.017114711351814776,2799.506720786733,1.0676357310250968,2837.870382717149,-0.5347395484346055,2836.2680074376894,-0.44456973740093153,2836.358177248723,0.22552485112986442,2941.3220050541963,0.046522323631167754,2973.3990723014576
42,3.1594185415888205,1778252250.297109,0.012301082955673337,6609.559261240334,6618.986172326314,2627.9999897003177,6614.131185622154,6619.621120518384,2630.999988555908,6592.302538435676,6598.6839212030445,2762.9999382019046,6585.65957911789,6595.533658342759,2770.9999351501465,6590.853643365835,6596.103409542438,2802.9999229431155,6589.529585536571,6592.888174343612,2807.999921035767,6594.68711526118,6598.071088424977,2837.999909591675,6602.152185408199,6606.458860836875,2842.9999076843264,6566.751843078522,6577.875552465079,2877.999894332886,6539.685767338081,6559.62728703732,2880.9998931884766,6557.557357031513,6575.929425069536,2877.999894332886,6556.704867500075,6572.872083320597,2881.9998928070067,6578.950226182108,6588.976629886604,2938.9998710632326,6588.157655041723,6595.407344805452,2943.999869155884,6569.850858880704,6583.439742335788,2970.999858856201,6573.08397163554,6585.332362380413,2977.9998561859134,-0.3814686707120977,2673.5201492325555,0.05186880242391356,2799.5757043005087,-0.08396256750341066,2799.4398729305813,1.3626492513154933,2838.1653962374394,-0.5657280917370039,2836.237018894387,-0.4301227496496115,2836.3726242364746,0.23276234817976152,2941.3292425512464,-0.07623101295088847,2973.276318964876
43,3.2354023749940097,1778252250.3733609,0.012840500101447105,6607.873244796283,6615.32459271938,2627.9999897003177,6615.27738943057,6617.645863006999,2630.999988555908,6592.649275605954,6597.626203502767,2762.9999382019046,6585.966899471224,6597.470420576459,2770.9999351501465,6591.794889506984,6597.142155454351,2802.9999229431155,6589.752102882294,6594.434365925971,2807.999921035767,6591.070614665159,6599.571233609439,2837.999909591675,6601.492318977902,6605.640686798912,2842.9999076843264,6571.732736803497,6581.152955649968,2877.999894332886,6536.708643824311,6558.377493352081,2880.9998931884766,6560.01991013846,6576.746157960694,2877.999894332886,6556.795763670263,6570.579137757128,2881.9998928070067,6574.225790873245,6585.1000351499215,2938.9998710632326,6584.874313048262,6595.367686523826,2943.999869155884,6571.307224073113,6582.94586912003,2970.999858856201,6571.671578995629,6583.944039795826,2977.9998561859134,-0.47506174765409465,2673.426556155613,0.1526488590535251,2799.676484357138,0.0147077281169635,2799.538543226202,0.5227946584139399,2837.325541644538,-0.48797595557931084,2836.3147710305448,-0.4459221620833749,2836.356824824041,0.4440288886913115,2941.540509091758,-0.011947751323364154,2973.340602226503
44,3.3084408750291914,1778252250.446136,0.012311665806919336,6610.018737964972,6617.67581838188,2627.9999897003177,6617.274499495676,6618.575188739798,2630.999988555908,6593.690642479445,6601.6854708561295,2762.9999382019046,6587.558306079407,6597.43969954458,2770.9999351501465,6592.920879053703,6594.947192591008,2802.9999229431155,6590.187508023351,6594.181306354495,2807.999921035767,6593.276992083627,6596.730905951034,2837.999909591675,6602.033303787022,6606.39276217257,2842.9999076843264,6569.6015374270255,6575.450233823394,2877.999894332886,6537.063275972736,6555.154645902742,2880.9998931884766,6555.4864367148575,6575.3992007213365,2877.999894332886,6555.244614420638,6572.94249625577,2881.9998928070067,6575.871467432832,6588.7803404957685,2938.9998710632326,6586.408005012684,6594.035787205428,2943.999869155884,6572.048540514105,6582.153545557356,2970.999858856201,6570.205270960051,6586.181644099398,2977.9998561859134,-0.5786160684087407,2673.3230018348586,-0.0015175194849196478,2799.5223179786,0.2263788981448119,2799.7502143962297,1.3598005877399708,2838.162547573864,-0.48830372684162054,2836.3144432592826,-0.4303625404663725,2836.3723844456576,0.01111962572835231,2941.107599828795,0.15821742213451737,2973.510767399961
45,3.38673775002826,1778252250.5246642,0.012773750117048621,6611.653097777914,6616.0802442155455,2627.9999897003177,6618.206275025217,6621.963755845585,2630.999988555908,6596.20299691292,6604.069910138462,2762.9999382019046,6590.609103829814,6600.712198551211,2770.9999351501465,6594.611286181496,6600.419703823701,2802.9999229431155,6594.709368218358,6595.1899471222905,2807.999921035767,6593.856650976557,6600.737705168566,2837.999909591675,6606.0831861111965,6606.689256349909,2842.9999076843264,6574.720857658098,6584.48162423205,2877.999894332886,6544.224724149525,6560.965600452366,2880.9998931884766,6560.771906042729,6579.473052235841,2877.999894332886,6561.406392701043,6579.56276400648,2881.9998928070067,6582.775631934468,6592.332302778373,2938.9998710632326,6591.40421646239,6597.875942170736,2943.999869155884,6574.360083442858,6586.021293211479,2970.999858856201,6572.828772503592,6587.51255769172,2977.9998561859134,-0.11558311057631251,2673.786034792691,0.010036337157102749,2799.533871835242,-0.3602439306417173,2799.163591567443,0.21727836447257284,2837.0200253505964,-0.6072679493107977,2836.195479036813,-0.3944648705209461,2836.408282115603,0.2057578277149254,2941.3022380307816,0.06567515314770488,2973.4182251309744
46,3.4617186459945515,1778252250.599566,0.012616458116099238,6608.941813124676,6615.46473545863,2627.9999897003177,6615.376169881102,6619.630931931412,2630.999988555908,6597.187928294159,6601.449127364979,2762.9999382019046,6584.7983785188135,6598.920683436746,2770.9999351501465,6591.25835345539,6596.3388253813,2802.9999229431155,6589.975795458018,6595.233121924381,2807.999921035767,6590.376175994131,6594.588232417399,2837.999909591675,6601.402339762203,6606.529275300301,2842.9999076843264,6570.122499006633,6577.275230002751,2877.999894332886,6537.610280588074,6557.093352079959,2880.9998931884766,6558.988577803588,6576.56960143045,2877.999894332886,6558.443535470857,6572.787443836537,2881.9998928070067,6580.183679738363,6590.014663630529,2938.9998710632326,6588.7457101812515,6596.218279487728,2943.999869155884,6569.753942904301,6585.625046611854,2970.999858856201,6573.269058899043,6585.044550233823,2977.9998561859134,-0.24580901307943698,2673.655808890188,0.2635376651319486,2799.7873731632167,0.08233786199804964,2799.6061733600827,1.3608741099631572,2838.1636210960874,-0.4863124456236859,2836.3164345405003,-0.4523730629575334,2836.3503739231664,0.26983164028186346,2941.3663118433487,-0.16566741737658466,2973.18688256045
47,3.535437708022073,1778252250.673176,0.012398249935358763,6609.162727328301,6617.941371458264,2627.9999897003177,6616.279810190422,6620.246724944218,2630.999988555908,6598.703294923129,6602.025740440748,2762.9999382019046,6590.2645322003855,6600.725596784547,2770.9999351501465,6594.924892257848,6599.003050401933,2802.9999229431155,6592.85350582266,6595.493025032859,2807.999921035767,6593.797262890852,6598.857265336063,2837.999909591675,6601.802536907419,6605.563259161902,2842.9999076843264,6569.633008833329,6580.630902894521,2877.999894332886,6540.938984320079,6561.509731943639,2880.9998931884766,6561.569115444571,6577.000382064371,2877.999894332886,6555.775170400708,6571.371597334719,2881.9998928070067,6575.476000244521,6587.7930586545235,2938.9998710632326,6587.1769508206735,6595.346148791148,2943.999869155884,6571.080088333283,6584.212708989211,2970.999858856201,6576.001331112266,6586.972384387322,2977.9998561859134,-0.4528531862838215,2673.4487647169835,0.17290643824733612,2799.6967419363323,-0.04752629570341532,2799.4763092023813,1.0089850880504398,2837.8117320741744,-0.5486745423214547,2836.2540724438027,-0.3788601133026935,2836.423886872821,0.11110404778335141,2941.2075842508502,-0.10296875680509379,2973.2495812210213
48,3.642248479067348,1778252250.779721,0.011866708053275943,6609.297298040774,6618.298094262922,2627.9999897003177,6616.413237766299,6622.356421737934,2630.999988555908,6597.522372161261,6603.173530580432,2762.9999382019046,6588.058594920071,6599.090292508483,2770.9999351501465,6593.946596570591,6598.530261026378,2802.9999229431155,6592.434454564905,6600.861513891861,2807.999921035767,6596.834504997401,6600.106042730079,2837.999909591675,6605.560841458569,6606.590876302839,2842.9999076843264,6570.737489684262,6581.784595164592,2877.999894332886,6541.354850689244,6559.766304979063,2880.9998931884766,6557.481147415716,6575.217813369197,2877.999894332886,6558.041901763609,6573.530189198276,2881.9998928070067,6577.216098664302,6588.853787022039,2938.9998710632326,6591.673012501145,6595.327623253965,2943.999869155884,6568.644703059572,6581.772028303329,2970.999858856201,6573.636934926796,6587.018759360576,2977.9998561859134,-0.3101198083421949,2673.591498094925,0.11459787448866228,2799.638433372573,0.37686743620693874,2799.9007029342915,0.8594258116376806,2837.6621727977617,-0.5984940545840838,2836.20425293154,-0.43114361250869965,2836.3716033736155,-0.2278700519262976,2940.8686101511403,-0.024573346090897712,2973.3279766317355
49,3.719324375037104,1778252250.857117,0.012507250066846609,6602.975810740592,6613.508648409083,2627.9999897003177,6612.063928538681,6618.344887978727,2630.999988555908,6592.367880612526,6599.049018858697,2762.9999382019046,6584.333146376502,6595.425370602439,2770.9999351501465,6590.885715377326,6593.9747623559615,2802.9999229431155,6589.846361218939,6594.722492893602,2807.999921035767,6591.434011370235,6596.359323898892,2837.999909591675,6598.812384998624,6603.345615429287,2842.9999076843264,6569.541545679615,6579.664533728642,2877.999894332886,6538.40314821041,6556.803900113089,2880.9998931884766,6556.324034905401,6574.952368799093,2877.999894332886,6552.854668826604,6569.773853042761,2881.9998928070067,6576.546983219732,6587.8550799278655,2938.9998710632326,6585.534145856895,6593.274693584375,2943.999869155884,6569.095488583916,6580.54540758627,2970.999858856201,6568.248468686004,6581.0845004126295,2977.9998561859134,-0.4077371238331386,2673.493880779434,0.08244779750333389,2799.606283295588,0.21180355076127264,2799.735639048846,1.1533006676477995,2837.9560476537717,-0.5777738921057188,2836.2249730940184,-0.41930702131083447,2836.383439964813,0.1627571356540908,2941.2592373387206,0.01257039131358891,2973.36512036914
50,3.795491708558984,1778252250.933142,0.012222083052620292,6606.879036892135,6614.5901182871285,2627.9999897003177,6614.009783904391,6615.56243543112,2630.999988555908,6590.7655836415315,6598.200354555735,2762.9999382019046,6584.274054772749,6594.036566616744,2770.9999351501465,6590.358932664976,6597.442963902559,2802.9999229431155,6589.719387474402,6593.513596906807,2807.999921035767,6590.770414463429,6593.95901519088,2837.999909591675,6602.23251062139,6604.550377479599,2842.9999076843264,6569.301632178989,6576.990083137207,2877.999894332886,6539.881110737538,6558.75370602439,2880.9998931884766,6558.457331051136,6574.943989363327,2877.999894332886,6556.7651786533,6571.692322034415,2881.9998928070067,6576.017189840144,6584.608466546444,2938.9998710632326,6585.889317480209,6592.610954549622,2943.999869155884,6568.4156371305435,6580.832571751688,2970.999858856201,6572.736357245469,6580.336487147355,2977.9998561859134,-0.5627262029445977,2673.3388917003226,0.013181739970237534,2799.537017238055,-0.19637199149512916,2799.3274635065895,1.0771550435523642,2837.8799020296765,-0.5123461543747964,2836.290400831749,-0.41620635423466995,2836.386540631889,0.31286021545174153,2941.4093404185182,-0.1892504781395415,2973.163299499687
51,3.87059833353851,1778252251.008121,0.011967417085543275,6606.074776110278,6616.514001895039,2627.9999897003177,6617.3579591649595,6617.266074212183,2630.999988555908,6594.739288443318,6600.792468747134,2762.9999382019046,6585.981873338021,6599.219459302503,2770.9999351501465,6590.736765290216,6596.9216783323645,2802.9999229431155,6594.049049423846,6598.91580829538,2807.999921035767,6596.294061191429,6599.847154384571,2837.999909591675,6602.903854265367,6607.6956154292875,2842.9999076843264,6571.336661368708,6579.421959531741,2877.999894332886,6538.764619311061,6557.254607696304,2880.9998931884766,6557.2093254271485,6574.228813766544,2877.999894332886,6557.9207567931035,6571.182664975396,2881.9998928070067,6579.669306476755,6592.093336797383,2938.9998710632326,6590.5066601461,6595.856820613137,2943.999869155884,6571.373220344164,6584.465883179999,2970.999858856201,6573.715576000244,6589.632113274444,2977.9998561859134,-0.9188704565585638,2672.982747446709,0.17450933981261893,2799.6983448378974,-0.03810290478215642,2799.4857325933026,1.4128926753677027,2838.215639661492,-0.52980408087345,2836.2729429052506,-0.46367619105474317,2836.3390707950693,-0.14701975302945658,2940.9494604500373,0.05893749913084343,2973.4114874769575
