save_id,timestamp_epoch_s,n_channels,n_solve_channels,selected_blocks,solver,rank,condition_number,residual_norm_uT,solve_residual_norm_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,status
000015,1.653553299998748,8,8,all,weighted_lstsq,3,4.474373813169925,23.216820358202007,23.216820358202007,10.315075913662017,8.47036330022049,-11.76201425381318,ok
000016,1.7675728000031086,8,8,all,weighted_lstsq,3,4.474373813169925,24.690173344729317,24.690173344729317,5.107975018959906,4.7479600991985595,-4.18839606355393,ok
000017,1.8854721000097925,8,8,all,weighted_lstsq,3,4.474373813169925,30.970210625708106,30.970210625708106,6.439473478391985,6.128984474865042,-11.657739063217074,ok
000018,2.003162599998177,8,8,all,weighted_lstsq,3,4.474373813169925,30.867369455537908,30.867369455537908,10.302590593562263,13.638165128989455,-6.977573302310923,ok
000019,2.1283846000005724,8,8,all,weighted_lstsq,3,4.474373813169925,20.984759665883466,20.984759665883466,6.287160661635222,7.493346601997472,-12.761418473569025,ok
000020,2.2429078499990283,8,8,all,weighted_lstsq,3,4.474373813169925,19.523825381291893,19.523825381291893,7.9276408275609604,6.799765379841706,-8.891116943304949,ok
000021,2.3587625499931164,8,8,all,weighted_lstsq,3,4.474373813169925,30.585007732515088,30.585007732515088,4.260141554360586,3.0385560524135498,-12.022464006044082,ok
000022,2.4697348000045167,8,8,all,weighted_lstsq,3,4.474373813169925,30.87298286847488,30.87298286847488,10.687323949943767,4.702088867924242,-13.986890208711092,ok
000023,2.5849041000037687,8,8,all,weighted_lstsq,3,4.474373813169925,38.195513772550086,38.195513772550086,10.05558360050309,10.032166728573513,-13.196335948749763,ok
000024,2.6959186000021877,8,8,all,weighted_lstsq,3,4.474373813169925,19.818627652480078,19.818627652480078,7.1332630008366715,-1.4834046832370982,-11.655936898354609,ok
000025,2.807452100008959,8,8,all,weighted_lstsq,3,4.474373813169925,28.63961986094767,28.63961986094767,11.296231760199417,3.4051316660461795,-10.078489051331132,ok
000026,2.918549850001,8,8,all,weighted_lstsq,3,4.474373813169925,34.70292734729819,34.70292734729819,15.893872920902389,5.183731611496035,-15.745308826671641,ok
000027,3.0337523499911185,8,8,all,weighted_lstsq,3,4.474373813169925,20.871088312723728,20.871088312723728,11.105369272539015,3.261564423493784,-16.080354787114754,ok
000028,3.149790750001557,8,8,all,weighted_lstsq,3,4.474373813169925,21.314980272824833,21.314980272824833,8.679200594935493,12.73510386042643,-10.175421679100182,ok
000029,3.265001499996288,8,8,all,weighted_lstsq,3,4.474373813169925,25.24004040545402,25.24004040545402,7.424263832687617,7.656448068340887,-11.530294326420455,ok
000030,3.3818156000052118,8,8,all,weighted_lstsq,3,4.474373813169925,29.50056406285087,29.50056406285087,11.671596094054495,11.015474106573233,-9.853609405014765,ok
000031,3.4968719000025885,8,8,all,weighted_lstsq,3,4.474373813169925,26.81859439680887,26.81859439680887,9.3254225484565,7.924742127105177,-6.374307207845036,ok
000032,3.620759249999537,8,8,all,weighted_lstsq,3,4.474373813169925,12.632540805793042,12.632540805793042,3.724348344434239,7.820756824583018,-7.461365730361884,ok
000033,3.738727900010417,8,8,all,weighted_lstsq,3,4.474373813169925,18.539358927585894,18.539358927585894,3.7224055329699546,11.56524701968267,-6.2869368099899825,ok
000034,3.8550895000080345,8,8,all,weighted_lstsq,3,4.474373813169925,18.072225208141777,18.072225208141777,8.079268387758322,7.230357682545065,-7.663196896758291,ok
000035,3.974401049999869,8,8,all,weighted_lstsq,3,4.474373813169925,33.900363976349226,33.900363976349226,15.136170571055292,7.773614407784395,-10.368442565895798,ok
000036,4.095439099997748,8,8,all,weighted_lstsq,3,4.474373813169925,19.147583586916213,19.147583586916213,-1.0551972745517024,12.345055183621913,5.054467098548949,ok
000037,4.214067900000373,8,8,all,weighted_lstsq,3,4.474373813169925,20.055365980100238,20.055365980100238,10.897201535565237,-2.152443542722037,-2.2344005266026308,ok
