packet,rep_index,reps_averaged,time_s,timestamp_epoch_s,peak_01,peak_01_freq_mhz,peak_01_ref,peak_02,peak_02_freq_mhz,peak_02_ref,peak_03,peak_03_freq_mhz,peak_03_ref,peak_04,peak_04_freq_mhz,peak_04_ref,peak_05,peak_05_freq_mhz,peak_05_ref,peak_06,peak_06_freq_mhz,peak_06_ref,peak_07,peak_07_freq_mhz,peak_07_ref,peak_08,peak_08_freq_mhz,peak_08_ref,peak_09,peak_09_freq_mhz,peak_09_ref,peak_10,peak_10_freq_mhz,peak_10_ref,peak_11,peak_11_freq_mhz,peak_11_ref,peak_12,peak_12_freq_mhz,peak_12_ref,peak_13,peak_13_freq_mhz,peak_13_ref,peak_14,peak_14_freq_mhz,peak_14_ref,peak_15,peak_15_freq_mhz,peak_15_ref,peak_16,peak_16_freq_mhz,peak_16_ref
54,2710,1,18.4748809375,1787091531.99413,1772.5156035088792,2752.999979782105,1808.132759727359,1767.3303634196288,2758.9037812114784,1800.2591619035975,1741.2347709142036,2793.9999641418462,1795.220084359813,1751.0958370266223,2800.3997641490664,1796.6873796497234,1777.5042027080722,2822.673903726525,1807.1954946969465,1772.7250664792004,2828.999950790406,1793.9487880918177,1773.488369960571,2861.999938201905,1801.23863740563,1786.3461197542563,2868.0452774028267,1798.3381269676315,1775.096494177339,2884.999929428101,1803.956735030718,1774.628541736712,2890.981848871031,1798.660803252132,1772.7976587095393,2920.999915695191,1794.9076932481585,1782.7871442980713,2927.835990574429,1795.9315340648593,1751.810847571599,2944.305061938584,1799.3606840480484,1751.732509093132,2950.999904251099,1789.4161445120274,1767.678179539689,2979.999893188477,1798.311153223095,1759.430128067977,2986.7866456523816,1812.432588562521
54,2711,1,18.481696979166667,1787091531.99413,1756.54182840725,2752.999979782105,1801.8840052572057,1763.9818748662774,2758.9037812114784,1806.9276828560076,1737.7475624293181,2793.9999641418462,1794.663110920928,1743.321285570193,2800.3997641490664,1791.2236299171684,1772.8660635143808,2822.673903726525,1799.883409236788,1775.6099734083198,2828.999950790406,1799.5377479597762,1786.327413882691,2861.999938201905,1808.7337469816914,1783.5569428737354,2868.0452774028267,1785.6520616193416,1769.1499831891676,2884.999929428101,1802.6199070819453,1774.7177308432924,2890.981848871031,1799.2416175077176,1777.0621695143197,2920.999915695191,1800.159030473454,1791.664150136015,2927.835990574429,1800.8550906256687,1739.9950025980377,2944.305061938584,1791.7697832930892,1748.5759543967968,2950.999904251099,1799.2648011737017,1763.9870862242872,2979.999893188477,1802.1399731026684,1769.347556316288,2986.7866456523816,1811.21594278204
54,2712,1,18.488513020833334,1787091531.99413,1763.6498609285693,2752.999979782105,1808.8278570773605,1773.5686034783141,2758.9037812114784,1804.5810893419323,1737.5459547024482,2793.9999641418462,1807.815462909191,1745.8060641256839,2800.3997641490664,1805.9177186172326,1787.1618577497936,2822.673903726525,1811.017452700431,1782.746141149861,2828.999950790406,1804.5906562337623,1770.0566372222393,2861.999938201905,1800.2728703732005,1771.3193141180427,2868.0452774028267,1796.4406883271693,1783.0728520341106,2884.999929428101,1803.75618180151,1776.1549500259803,2890.981848871031,1794.9258336644557,1786.381590610386,2920.999915695191,1803.7349848702509,1785.8616162851117,2927.835990574429,1796.036571201516,1733.108918910658,2944.305061938584,1793.0958675917718,1750.4696029587064,2950.999904251099,1793.383577345111,1748.2026010942323,2979.999893188477,1790.5922761866918,1757.1280526943178,2986.7866456523816,1799.0691078032828
54,2713,1,18.4953290625,1787091531.99413,1753.658556713635,2752.999979782105,1801.0700706054956,1758.1100803863435,2758.9037812114784,1801.1944096341351,1730.628205520066,2793.9999641418462,1788.0897545618486,1745.4433627777607,2800.3997641490664,1792.6701409053396,1774.2558303022893,2822.673903726525,1789.071232081181,1772.053947489073,2828.999950790406,1804.8244032154537,1779.5732493810558,2861.999938201905,1801.8436286945625,1781.2788458599505,2868.0452774028267,1800.396643946572,1781.5570345691842,2884.999929428101,1804.1991472323257,1772.0718281015986,2890.981848871031,1791.6309716661062,1765.5795763670262,2920.999915695191,1787.859598985237,1781.320154659657,2927.835990574429,1806.339441269065,1738.6053122230032,2944.305061938584,1809.2512760949965,1739.2990647064216,2950.999904251099,1793.1428462267322,1761.6017666656478,2979.999893188477,1807.6738392884433,1747.8882385304275,2986.7866456523816,1805.8370113396704
54,2714,1,18.50214510416667,1787091531.99413,1753.6628969648807,2752.999979782105,1799.5106978023657,1764.2829110248495,2758.9037812114784,1788.3122077207568,1730.9295778952837,2793.9999641418462,1800.8814683497876,1741.2491976648225,2800.3997641490664,1792.7644955222056,1771.1701561879145,2822.673903726525,1803.2581838188098,1784.572989577284,2828.999950790406,1796.874346669927,1776.2519026805637,2861.999938201905,1795.2857688663387,1775.5773451111043,2868.0452774028267,1795.7834000672433,1771.0557966806248,2884.999929428101,1803.2998899654615,1771.3440413240824,2890.981848871031,1799.5399792156982,1782.5137695999022,2920.999915695191,1811.367484793838,1787.921921325305,2927.835990574429,1811.4562765534738,1743.9044991900234,2944.305061938584,1792.8520952410063,1738.2541186539108,2950.999904251099,1798.0975792401505,1771.7586270134793,2979.999893188477,1804.553947489073,1767.8380352721827,2986.7866456523816,1809.6856068710456
54,2715,1,18.508961145833336,1787091531.99413,1767.9783445914968,2752.999979782105,1810.6010789497814,1760.4204389155484,2758.9037812114784,1803.6883118867868,1732.9133630834124,2793.9999641418462,1798.9974783751566,1741.320811810374,2800.3997641490664,1793.4727664516918,1765.410046764679,2822.673903726525,1790.1732432680258,1769.3191154445701,2828.999950790406,1795.2291622092491,1768.062230644619,2861.999938201905,1805.948925634991,1780.2627685912523,2868.0452774028267,1795.9091298101905,1775.289803466088,2884.999929428101,1804.2697374453649,1773.9086560503713,2890.981848871031,1800.8514380902895,1773.4844270562705,2920.999915695191,1793.906547055048,1785.022373689519,2927.835990574429,1804.5535654247028,1741.5470703304093,2944.305061938584,1799.3191154445701,1753.2559067151633,2950.999904251099,1800.2660849099857,1763.4570101170646,2979.999893188477,1793.8740104532812,1744.786120365559,2986.7866456523816,1788.4975547880306
54,2716,1,18.515777187500003,1787091531.99413,1755.221276400648,2752.999979782105,1796.2954121710425,1767.045114160834,2758.9037812114784,1800.624461289238,1736.2762783873827,2793.9999641418462,1794.5271112877097,1741.1922242259375,2800.3997641490664,1801.4991288932358,1773.8562673839288,2822.673903726525,1799.4556499679065,1778.1933092887489,2828.999950790406,1796.8027172418008,1784.157211847052,2861.999938201905,1791.146223675765,1779.9996179356299,2868.0452774028267,1803.038405110493,1786.8600574624813,2884.999929428101,1802.9758076840785,1781.9253904697864,2890.981848871031,1813.4330928874897,1785.3258703426354,2920.999915695191,1797.3773114894398,1776.902069260629,2927.835990574429,1795.8007610722254,1736.621114405355,2944.305061938584,1796.4896078491304,1760.7829721551486,2950.999904251099,1808.441024543815,1758.7690802946481,2979.999893188477,1788.6739615490417,1767.535379160681,2986.7866456523816,1800.285891126937
54,2717,1,18.522593229166667,1787091531.99413,1757.1803343827369,2752.999979782105,1795.1526423571843,1764.9038878870313,2758.9037812114784,1812.6205183849374,1740.3362472109302,2793.9999641418462,1804.7789528379742,1747.5500962802214,2800.3997641490664,1798.3490998563439,1776.4392517651374,2822.673903726525,1794.8256258214385,1783.1213130788276,2828.999950790406,1804.771953418712,1777.4727970168415,2861.999938201905,1787.4833878411835,1773.7030748540515,2868.0452774028267,1805.9114374789865,1787.5052266405844,2884.999929428101,1797.542867622337,1775.5229238622123,2890.981848871031,1797.0152672922334,1782.5944921600392,2920.999915695191,1799.3988293547698,1781.9119265213803,2927.835990574429,1802.0560412018217,1745.4440504936272,2944.305061938584,1785.1611241862029,1743.8723293700523,2950.999904251099,1807.4264755325978,1771.6207629061344,2979.999893188477,1804.8008069199498,1757.6602683620135,2986.7866456523816,1804.728596753981
54,2718,1,18.529409270833334,1787091531.99413,1753.856649448299,2752.999979782105,1814.501910321851,1760.4502246538498,2758.9037812114784,1796.9278815294801,1736.6778738881926,2793.9999641418462,1800.571400189504,1736.3281168811322,2800.3997641490664,1791.9079377693554,1781.0505394748907,2822.673903726525,1799.3806736558975,1779.4891188067365,2828.999950790406,1802.0516551028518,1783.6574258030994,2861.999938201905,1799.9947122291164,1785.1182565638658,2868.0452774028267,1796.2733594155943,1780.4352477305376,2884.999929428101,1801.729880490265,1769.3938930831066,2890.981848871031,1792.6668093040316,1781.9195525262096,2920.999915695191,1796.4342543631751,1785.2183115811351,2927.835990574429,1784.820872940673,1729.1724944218602,2944.305061938584,1787.5813185805544,1743.6503958186875,2950.999904251099,1790.7969251459485,1753.6321789895162,2979.999893188477,1788.2767062994774,1753.2099214475654,2986.7866456523816,1796.332839196748
54,2719,1,18.5362253125,1787091531.99413,1758.5707430387872,2752.999979782105,1815.2469816914754,1762.225983433689,2758.9037812114784,1806.3329614573463,1733.585811657548,2793.9999641418462,1794.3384173365528,1735.3018155698871,2800.3997641490664,1804.7493657731454,1782.4644374484212,2822.673903726525,1797.4520585628268,1769.2517651373903,2828.999950790406,1781.577222850506,1771.8167160803253,2861.999938201905,1779.393220649815,1780.2554482379192,2868.0452774028267,1796.620732340985,1773.8863434911514,2884.999929428101,1795.5009322370634,1760.290277225907,2890.981848871031,1796.4205000458478,1775.800073356359,2920.999915695191,1785.462863343216,1769.2770272335483,2927.835990574429,1793.9290124400159,1732.0450683131094,2944.305061938584,1800.5472690038819,1748.4083503988752,2950.999904251099,1795.233777546841,1752.0941712259682,2979.999893188477,1799.6202280160162,1755.220558119632,2986.7866456523816,1798.9173365528625
54,2720,1,18.543041354166668,1787091531.99413,1744.9781306354494,2752.999979782105,1791.6806553168078,1751.227740929792,2758.9037812114784,1781.7892838585444,1724.174664547483,2793.9999641418462,1792.9847479903415,1747.5258733991502,2800.3997641490664,1808.1868294770302,1788.7850658678974,2822.673903726525,1801.3130176972215,1775.7672005379466,2828.999950790406,1790.4142189076015,1766.4538160589295,2861.999938201905,1794.169560167497,1779.192667420607,2868.0452774028267,1793.69480698108,1775.815615734939,2884.999929428101,1786.4220435859033,1769.6396980163217,2890.981848871031,1793.9834795366323,1763.2949995415227,2920.999915695191,1780.7248678057279,1776.3514380902895,2927.835990574429,1796.1825962038083,1730.8742244093285,2944.305061938584,1790.4415288687837,1742.2135739829446,2950.999904251099,1793.464544426445,1751.157930128068,2979.999893188477,1793.385487666962,1759.1526576397591,2986.7866456523816,1796.190359751811
54,2721,1,18.549857395833335,1787091531.99413,1760.727725647217,2752.999979782105,1802.2589937952746,1758.9782987437723,2758.9037812114784,1799.2252651526728,1735.704312742611,2793.9999641418462,1788.2573891249197,1730.9158694256807,2800.3997641490664,1795.4635816242321,1768.9101078949782,2822.673903726525,1797.0183085246201,1782.188281321637,2828.999950790406,1811.2807408992267,1787.2543020448086,2861.999938201905,1804.0016505180793,1775.998548155393,2868.0452774028267,1797.3792218112908,1776.6338753553198,2884.999929428101,1800.4075557049853,1785.6280068465935,2890.981848871031,1805.898569550998,1792.1711189901275,2920.999915695191,1809.1922242259375,1790.7750404988233,2927.835990574429,1795.299446770792,1743.1068404804842,2944.305061938584,1799.8600421799065,1744.9458385548796,2950.999904251099,1798.8604548094263,1776.3718861753828,2979.999893188477,1795.390592046948,1757.9152734052634,2986.7866456523816,1796.4379833114283
54,2722,1,18.556673437500002,1787091531.99413,1747.6635388330226,2752.999979782105,1786.7486169269798,1755.3166702326007,2758.9037812114784,1793.8511171562184,1731.1982302778372,2793.9999641418462,1801.0071216798606,1738.4437601247057,2800.3997641490664,1802.3790842681176,1779.7049546107528,2822.673903726525,1794.172204052939,1765.1347617446588,2828.999950790406,1798.8055292355657,1783.1122963596906,2861.999938201905,1791.8934040407128,1787.4079224867805,2868.0452774028267,1800.55616346242,1769.7778066448636,2884.999929428101,1800.9158999908304,1770.1567992175321,2890.981848871031,1797.8603478314026,1782.82947703029,2920.999915695191,1804.3716110890364,1790.8146529327262,2927.835990574429,1803.0587156524132,1745.02949536938,2944.305061938584,1785.3183360332548,1737.3787938991961,2950.999904251099,1791.081028211633,1754.4237857994315,2979.999893188477,1790.7108536846288,1748.8818504141577,2986.7866456523816,1796.426307424275
54,2723,1,18.56348947916667,1787091531.99413,1757.0045542072928,2752.999979782105,1798.2373842344957,1760.956245988324,2758.9037812114784,1794.993718861754,1726.628129107192,2793.9999641418462,1795.9187578323197,1732.4803466087967,2800.3997641490664,1799.7455298468685,1766.766054344836,2822.673903726525,1807.5813185805544,1782.6666717608582,2828.999950790406,1798.7160650426383,1771.5621083840206,2861.999938201905,1789.437127487239,1770.6107069719105,2868.0452774028267,1796.6700644924656,1776.428752636244,2884.999929428101,1794.2961151694838,1791.7453158908213,2890.981848871031,1800.4852523153102,1789.7939144787115,2920.999915695191,1801.3750038206438,1777.8803832869762,2927.835990574429,1806.706605128832,1735.1587859522572,2944.305061938584,1795.7706391172785,1745.8621206100804,2950.999904251099,1793.718158755387,1752.8521716538803,2979.999893188477,1790.813308066143,1765.5542837057187,2986.7866456523816,1799.9838004707033
54,2724,1,18.570305520833337,1787091531.99413,1762.8741021487301,2752.999979782105,1809.2193049484977,1763.7255402390194,2758.9037812114784,1805.1454442644497,1734.8574135770396,2793.9999641418462,1804.6076657395238,1746.885564079836,2800.3997641490664,1803.7540880887611,1775.0737995537488,2822.673903726525,1808.8750038206438,1789.15895406058,2828.999950790406,1807.2476388421921,1777.8305315279517,2861.999938201905,1796.1121435339426,1777.8688755081457,2868.0452774028267,1801.280389400006,1777.7133447443225,2884.999929428101,1810.083824922823,1789.1299171684445,2890.981848871031,1804.8559006021335,1780.182794877281,2920.999915695191,1790.5388483051624,1779.2767521472017,2927.835990574429,1797.9221352813522,1745.7806644863526,2944.305061938584,1794.0947825289604,1740.8461961671303,2950.999904251099,1793.0417367118011,1760.8375462297888,2979.999893188477,1789.5096585872789,1756.242549744781,2986.7866456523816,1808.9445853837456
54,2725,1,18.5771215625,1787091531.99413,1757.9312436959378,2752.999979782105,1803.3308218968732,1758.7215362044196,2758.9037812114784,1795.3283002720298,1733.0220527554482,2793.9999641418462,1789.59840449919,1729.232340984809,2800.3997641490664,1799.706207781887,1775.309472139866,2822.673903726525,1800.632194272091,1770.0815325366018,2828.999950790406,1793.607650456949,1784.1211602530796,2861.999938201905,1792.045114160834,1758.563667206651,2868.0452774028267,1775.4844729039949,1761.250511966256,2884.999929428101,1788.8833022587646,1762.454733013418,2890.981848871031,1788.9503774795978,1778.2430387871748,2920.999915695191,1799.2438793287893,1786.3500015282575,2927.835990574429,1805.6117461869976,1730.3877800531834,2944.305061938584,1788.1580676712413,1736.4688082648165,2950.999904251099,1797.8582694012287,1763.9567655958676,2979.999893188477,1808.7149188495277,1770.938564049271,2986.7866456523816,1807.742473331907
54,2726,1,18.583937604166668,1787091531.99413,1754.1798300577682,2752.999979782105,1802.1621939664394,1768.5503713665678,2758.9037812114784,1802.856741143748,1743.8515145031636,2793.9999641418462,1802.3765167955496,1743.1814805758474,2800.3997641490664,1793.347082556469,1775.021991625149,2822.673903726525,1791.3728642601704,1773.795610844515,2828.999950790406,1797.3792218112908,1769.6717455756946,2861.999938201905,1797.1633707246997,1786.069016107834,2868.0452774028267,1805.8483968579026,1773.1237124430725,2884.999929428101,1807.447657181282,1782.835544212489,2890.981848871031,1798.4770455726382,1795.0780328269707,2920.999915695191,1798.573218815906,1774.7170278448514,2927.835990574429,1795.3324876975273,1737.1613075771006,2944.305061938584,1801.250359140508,1747.8035577834153,2950.999904251099,1802.0525414921906,1769.3840358223554,2979.999893188477,1800.0240853378978,1763.3932664975396,2986.7866456523816,1814.452119693126
54,2727,1,18.590753645833335,1787091531.99413,1770.7808173121007,2752.999979782105,1809.6965186294588,1749.6216951431977,2758.9037812114784,1790.5841000091696,1735.7910260720726,2793.9999641418462,1797.9531894733625,1744.8365375798514,2800.3997641490664,1808.76174465874,1776.7028761805789,2822.673903726525,1805.379191246141,1781.8374698169148,2828.999950790406,1800.146941956781,1788.8064003423297,2861.999938201905,1807.534171837271,1773.3304092673534,2868.0452774028267,1792.108292325091,1770.7171042577254,2884.999929428101,1795.9510040651649,1780.6244460066632,2890.981848871031,1806.7928752636244,1784.0750221597334,2920.999915695191,1787.333618608063,1784.7333649173213,2927.835990574429,1803.794907846074,1749.200874163279,2944.305061938584,1810.1239722468442,1753.0464895925666,2950.999904251099,1804.0476052205277,1764.4946969465416,2979.999893188477,1811.4678607451783,1774.3554268423145,2986.7866456523816,1804.8424977840266
54,2728,1,18.597569687500002,1787091531.99413,1754.0740593575206,2752.999979782105,1805.6885564079837,1754.910199590427,2758.9037812114784,1809.3746828865728,1734.0557508329002,2793.9999641418462,1796.3198490081609,1746.1916740532445,2800.3997641490664,1791.998548155393,1767.7425038970566,2822.673903726525,1805.5714154720788,1783.4873765932084,2828.999950790406,1808.0031482104105,1782.0599688235475,2861.999938201905,1786.8269095577223,1776.6848274597305,2868.0452774028267,1787.4490173304398,1774.081440841153,2884.999929428101,1793.8656356022864,1776.2617140935904,2890.981848871031,1796.268438426506,1777.660084971116,2920.999915695191,1798.755631628817,1785.4471375737385,2927.835990574429,1802.5838860531223,1741.9166182718463,2944.305061938584,1804.906684598221,1748.533774490326,2950.999904251099,1810.9771831158114,1768.5421951890455,2979.999893188477,1791.5111715621847,1759.313384479017,2986.7866456523816,1794.1110126234069
