file,timestamp,bias_v,repeat,bias_label,is_labeled_bias,n_points,freq_min_mhz,freq_max_mhz,signal_bright_p90_adc,signal_dark_p10_adc,signal_median_adc,reference_bright_p90_adc,reference_median_adc,signal_min_adc,signal_dip_depth_adc,signal_dip_depth_percent,signal_dip_transmission_percent,freq_at_signal_min_mhz,signal_ptp_adc,signal_ptp_percent_of_bright,quick_method,quick_error,quick_eta_white_nT,quick_eta_baseline_nT,quick_n_clean,robust_method,robust_error,robust_eta_white_nT,robust_eta_baseline_nT,robust_slope_adc_per_mhz,robust_noise_white_adc,robust_noise_baseline_adc,robust_n_clean,robust_f_at_slope_mhz,robust_n_lines
odmr_sweep_20260707_112436_0.47VBias_2.csv,20260707_112436,0.47,2,0.47 V,True,351,2700.0000000000005,3049.999866485596,12338.870195158483,12291.64048048415,12335.302191521227,12336.677063911728,12332.39225097044,11658.735040651649,680.1351545068337,5.512134772061259,94.48786522793874,2866.999936294556,684.0609843506445,5.543951541195854,quick_signal_default_guard_18,,12.05114675925343,15.227291489444156,285.0,signal_guard_18,,12.05114675925343,15.227291489444156,117.88716802838798,2.7256063969577204,3.4439546643227508,285.0,2864.174466460569,2.0
odmr_sweep_20260707_112454_0.47VBias_3.csv,20260707_112454,0.47,3,0.47 V,True,351,2700.0000000000005,3049.999866485596,12330.986882201909,12283.356089341929,12326.521704312741,12328.244081058776,12323.972601399884,11645.275832136196,685.7110500657127,5.560877297302479,94.43912270269752,2866.999936294556,690.708332823915,5.601403516379196,quick_signal_default_guard_18,,10.941784397963056,12.982378332684373,278.0,signal_guard_18,,10.941784397963056,12.982378332684373,120.0910084972441,2.5209653389672058,2.991114118474944,278.0,2864.194469786827,2.0
odmr_sweep_20260707_112528_0.48VBias_1.csv,20260707_112528,0.48,1,0.48 V,True,351,2700.0000000000005,3049.999866485596,12338.320333465785,12293.556689947121,12334.009095424397,12335.159799186968,12331.012539352629,11652.51860653483,685.8017269309548,5.558307033663438,94.44169296633657,2866.999936294556,689.5703502766137,5.588851088638546,quick_signal_default_guard_18,,11.11979759875626,13.033014715117469,278.0,signal_guard_18,,11.11979759875626,13.033014715117469,120.48332226023891,2.570348709458549,3.0125901353729083,278.0,2864.174466460569,2.0
odmr_sweep_20260707_112550_0.48VBias_2.csv,20260707_112550,0.48,2,0.48 V,True,351,2700.0000000000005,3049.999866485596,11839.276978329308,11794.553549378,11835.587415563776,11836.346958767614,11832.105601827794,11166.513344744324,672.7636335849838,5.682472289620513,94.3175277103795,2866.999936294556,678.0179447993378,5.726852628250748,quick_signal_default_guard_18,,11.387668857592352,13.201262181501797,280.0,signal_guard_18,,11.387668857592352,13.201262181501797,118.00278103948634,2.5780735435140016,2.988655992436133,280.0,2864.184468123698,2.0
odmr_sweep_20260707_112604_0.48VBias_3.csv,20260707_112604,0.48,3,0.48 V,True,351,2700.0000000000005,3049.999866485596,11856.256323929452,11808.310306568452,11851.447055047836,11852.73642219641,11848.197158205216,11179.41057401351,676.8457499159431,5.708764482004888,94.29123551799512,2866.999936294556,682.844758840969,5.759362316271664,quick_signal_default_guard_18,,11.986297421143918,15.30811102542898,283.0,signal_guard_18,,11.986297421143918,15.30811102542898,117.28390753541461,2.6970668204603214,3.4445164240440715,283.0,2864.184468123698,2.0
odmr_sweep_20260707_112700_0.49VBias_1.csv,20260707_112700,0.49,1,0.49 V,True,351,2700.0000000000005,3049.999866485596,11863.239673564201,11816.634618088454,11858.06142372467,11859.804331845831,11854.376518323807,11185.375623529053,677.8640500351485,5.713987651667248,94.28601234833275,2866.999936294556,684.8538603783963,5.772907563391057,quick_signal_default_guard_18,,12.244567647831003,16.128128215957133,277.0,signal_guard_18,,12.244567647831003,16.128128215957133,120.06013107848523,2.8203986473028406,3.714933210554801,277.0,2864.2144731130857,2.0
odmr_sweep_20260707_112716_0.49VBias_2.csv,20260707_112716,0.49,2,0.49 V,True,351,2700.0000000000005,3049.999866485596,9083.771295503864,9038.368355900604,9078.291048231808,9081.021159488952,9076.061552098297,8466.565529388392,617.2057661154722,6.794598257014315,93.20540174298569,2866.999936294556,621.993448360181,6.847304144128388,quick_signal_default_guard_18,,14.17094828916156,19.68955315323883,284.0,signal_guard_18,,14.17094828916156,19.68955315323883,108.7578874678975,2.956840554054802,4.108325573331039,284.0,2864.2244747762147,2.0
odmr_sweep_20260707_112732_0.49VBias_3.csv,20260707_112732,0.49,3,0.49 V,True,351,2700.0000000000005,3049.999866485596,9102.837335330256,9062.20563086469,9097.418660023843,9100.254195830914,9094.352508634654,8483.195616957546,619.6417183727099,6.8071272235936195,93.19287277640639,2866.999936294556,625.6509230675165,6.873141856981426,quick_signal_default_guard_18,,15.169167378623422,20.190961979187545,293.0,signal_guard_18,,15.169167378623422,20.190961979187545,106.31790620938966,3.0941145510122716,4.118429686970008,293.0,2864.174466460569,2.0
odmr_sweep_20260707_112814_0.50VBias_1.csv,20260707_112814,0.5,1,0.50 V,True,351,2700.0000000000005,3049.999866485596,9103.001787297126,9058.382064370206,9097.643031910016,9100.440065562247,9094.314896689795,8479.215739523794,623.786047773332,6.852531311636129,93.14746868836387,2866.999936294556,631.1962198551228,6.933934921730234,quick_signal_default_guard_18,,14.638630758367873,18.895008491476194,292.0,signal_guard_18,,14.638630758367873,18.895008491476194,109.29405130183605,3.069482846030065,3.9619760480006154,292.0,2864.234476439344,2.0
odmr_sweep_20260707_112821_0.50VBias_2.csv,20260707_112821,0.5,2,0.50 V,True,351,2700.0000000000005,3049.999866485596,7380.023227985452,7336.09285998105,7373.6685339425985,7374.756599015802,7369.995800348444,6785.299280190727,594.7239477947251,8.058564714803326,91.94143528519666,2866.999936294556,600.1205940336822,8.131689772438548,quick_signal_default_guard_18,,15.293710356777703,21.235814883290544,287.0,signal_guard_18,,15.293710356777703,21.235814883290544,103.50912695913286,3.037104506057158,4.2171185125952775,287.0,2864.2544797656024,2.0
odmr_sweep_20260707_112830_0.50VBias_3.csv,20260707_112830,0.5,3,0.50 V,True,351,2700.0000000000005,3049.999866485596,7393.4298101904205,7351.137384998627,7386.884705199132,7388.4532964513855,7382.653288045969,6804.759431641042,588.6703785493783,7.962074350635064,92.03792564936494,2866.999936294556,593.7027653819114,8.030140011116442,quick_signal_default_guard_18,,15.609700886993135,20.726710081572172,295.0,signal_guard_18,,15.609700886993135,20.726710081572172,103.76856414541129,3.1076250833646415,4.1263342975899775,295.0,2864.2244747762147,2.0
odmr_sweep_20260707_113249_0.51VBias_1.csv,20260707_113249,0.51,1,0.51 V,True,351,2700.0000000000005,3049.999866485596,5416.315347525751,5381.039082892686,5410.066921630956,5413.289095882874,5407.266084909987,4839.558348106488,576.7569994192636,10.64851217872191,89.35148782127808,2866.999936294556,582.5551181343035,10.755561313475273,quick_signal_default_guard_18,,14.192492199015096,21.099693189429438,295.0,signal_guard_18,,14.192492199015096,21.099693189429438,101.5092959626332,2.763966083072734,4.109132879627077,295.0,2864.2244747762147,2.0
odmr_sweep_20260707_113313_0.51VBias_2.csv,20260707_113313,0.51,2,0.51 V,True,351,2700.0000000000005,3049.999866485596,5416.315347525751,5381.039082892686,5410.066921630956,5413.289095882874,5407.266084909987,4839.558348106488,576.7569994192636,10.64851217872191,89.35148782127808,2866.999936294556,582.5551181343035,10.755561313475273,quick_signal_default_guard_18,,14.192492199015096,21.099693189429438,295.0,signal_guard_18,,14.192492199015096,21.099693189429438,101.5092959626332,2.763966083072734,4.109132879627077,295.0,2864.2244747762147,2.0
odmr_sweep_20260707_113323_0.51VBias_3.csv,20260707_113323,0.51,3,0.51 V,True,351,2700.0000000000005,3049.999866485596,5410.510835345539,5372.826305131888,5405.385900296482,5406.989864596387,5402.199219824556,4847.238173579485,563.2726617660537,10.410711278615906,89.5892887213841,2866.999936294556,569.7839341932313,10.531056152239318,quick_signal_default_guard_18,,15.55392713117062,21.90327904025269,295.0,signal_guard_18,,15.55392713117062,21.90327904025269,98.60335167877963,2.9423881790942255,4.1435162186330325,295.0,2864.2044714499566,2.0
odmr_sweep_20260707_113412_Best_Sensitivity.csv,20260707_113412,nan,nan,Best_Sensitivity (bias not in filename),False,351,2700.0000000000005,3049.999866485596,5409.401798759054,5363.85220221903,5403.229344836018,5405.883066907113,5400.759090075497,4836.728676223371,572.6731225356834,10.586625727581518,89.41337427241848,2866.999936294556,578.7867973836237,10.699645153303281,quick_signal_default_guard_18,,16.383714482669188,22.912774345227888,299.0,signal_guard_18,,16.383714482669188,22.912774345227888,99.60319947219158,3.130789652064226,4.378437923585889,299.0,2864.2144731130857,2.0
