batch,sample,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_freq_mhz,peak_01_raw,peak_01_spike_sig,peak_02,peak_02_freq_mhz,peak_02_raw,peak_02_spike_sig,z_minus,z_plus,lockin_signal,delta_f_mhz,peak_shift_kHz,f_new_mhz,B_shift_uT
432,0,5.190615050007182,1786737016.415193,0.010806699996464886,998.2775309244793,2794.818820156159,998.2775309244793,False,983.6960232204862,2800.81881786734,983.6960232204862,False,0.8275985737068237,0.8155101167351996,-0.012088456971624084,0.09071931555143613,90.71931555143613,2797.949887599303,3.237200811855414
433,0,5.201150849999976,1786737016.425198,0.010190700006205589,1046.4141981336804,2794.818820156159,1046.4141981336804,False,1050.4988362630208,2800.81881786734,1050.4988362630208,False,0.8675051486734485,0.870891422114683,0.003386273441234433,-0.04985147128527957,-49.85147128527957,2797.8093168124665,-1.7788849302483432
434,0,5.211642649999703,1786737016.4356189,0.01072530000237748,1025.7590494791664,2794.818820156159,1025.7590494791664,False,1032.859353298611,2800.81881786734,1032.859353298611,False,0.8503814821211745,0.8562678224742581,0.005886340353083663,-0.07256181024220659,-72.56181024220659,2797.7866064735094,-2.5892738453542177
435,0,5.222658600003342,1786737016.4475968,0.011240799998631701,1025.1527126736112,2794.818820156159,1025.1527126736112,False,1033.742879231771,2800.81881786734,1033.742879231771,False,0.8498788128133732,0.8570002889271884,0.007121476113815195,-0.08378165065971244,-83.78165065971244,2797.7753866330922,-2.989639261337155
436,0,5.233844050002517,1786737016.4587088,0.01106170000275597,1033.8635715060764,2794.818820156159,1033.8635715060764,False,1040.9426432291666,2800.81881786734,1040.9426432291666,False,0.8571003460265203,0.8629690844080927,0.005868738381572425,-0.07240191582600686,-72.40191582600686,2797.786766367926,-2.5835682210250805
437,0,5.245088600007875,1786737016.4693947,0.011360999997123145,1073.880433485243,2794.818820156159,1073.880433485243,False,1034.9947238498264,2800.81881786734,1034.9947238498264,False,0.8902753869066967,0.8580381013473936,-0.032237285559303164,0.27374910753118314,273.74910753118314,2798.132917391283,9.768380942448728
438,0,5.256488250000984,1786737016.4815934,0.011371100001269951,1048.7191351996528,2794.818820156159,1048.7191351996528,False,1032.4399359809029,2800.81881786734,1032.4399359809029,False,0.8694160026886804,0.855920114383902,-0.013495888304778325,0.10350427041926012,103.50427041926012,2797.962672554171,3.693415301857698
439,0,5.267345000000205,1786737016.4910705,0.010250799998175353,1049.726220703125,2794.818820156159,1049.726220703125,False,1039.807044813368,2800.81881786734,1039.807044813368,False,0.8702509033054482,0.8620276431754644,-0.008223260129983756,0.05560828312552107,55.60828312552107,2797.914776566877,1.9843092751042344
440,0,5.278211250006279,1786737016.50307,0.011414699998567812,1027.6510118272568,2794.818820156159,1027.6510118272568,False,1017.1587863498264,2800.81881786734,1017.1587863498264,False,0.8519499691323332,0.8432516356818244,-0.008698333450508855,0.05992379807729388,59.92379807729388,2797.919092081829,2.1383028146336667
441,0,5.289664700001595,1786737016.5143313,0.011423399992054328,1003.2922309027778,2794.818820156159,1003.2922309027778,False,983.2858208550346,2800.81881786734,983.2858208550346,False,0.8317558931105411,0.8151700480848869,-0.01658584502565419,0.13157310496154037,131.57310496154037,2797.9907413887136,4.695015164199985
442,0,5.301053150004009,1786737016.5253434,0.01128690000041388,1006.9351725260416,2794.818820156159,1006.9351725260416,False,998.8484320746527,2800.81881786734,998.8484320746527,False,0.8347759884228321,0.8280718659156282,-0.006704122507203869,0.041808600336218124,41.80860033621813,2797.900976884088,1.4918855386889138
443,0,5.312119649999659,1786737016.5363433,0.01078149999375455,1032.2102973090277,2794.818820156159,1032.2102973090277,False,1015.5855414496527,2800.81881786734,1015.5855414496527,False,0.8557297378288614,0.8419473738957562,-0.013782363933105168,0.1061065842178892,106.10658421788919,2797.9652748679696,3.7862754859366685
444,0,5.323223700004746,1786737016.5474062,0.011359199997968972,1023.0810004340277,2794.818820156159,1023.0810004340277,False,1016.1575981987847,2800.81881786734,1016.1575981987847,False,0.848161308370473,0.8424216241267742,-0.0057396842436987505,0.03304774687128806,33.047746871288055,2797.8922160306233,1.179265874653442
445,0,5.334428050002316,1786737016.5584083,0.010955900012049824,999.0367458767362,2794.818820156159,999.0367458767362,False,1005.355775282118,2800.81881786734,1005.355775282118,False,0.8282279830565892,0.8334666261804733,0.0052386431238841125,-0.06667819826891581,-66.67819826891582,2797.7924900854828,-2.3793248026304528
446,0,5.345345050001924,1786737016.569283,0.010809499988681637,1041.852322048611,2794.818820156159,1041.852322048611,False,1033.354562717014,2800.81881786734,1033.354562717014,False,0.8637232322980151,0.8566783642280899,-0.007044868069925214,0.04490389638241341,44.903896382413414,2797.9040721801343,1.6023371532405586
447,0,5.356482100003632,1786737016.5814636,0.01139639999018982,1027.8644476996528,2794.818820156159,1027.8644476996528,False,1028.8443874782984,2800.81881786734,1028.8443874782984,False,0.8521269131364813,0.8529393092267494,0.0008123960902681748,-0.0264706462373753,-26.470646237375302,2797.8326976375147,-0.9445705908284078
448,0,5.3676212999998825,1786737016.591571,0.010811999993165955,988.6530517578124,2794.818820156159,988.6530517578124,False,989.9034233940972,2800.81881786734,989.9034233940972,False,0.8196196249833878,0.8206562162626031,0.0010365912792152931,-0.028507211222644147,-28.50721122264415,2797.830661072529,-1.0172427641537307
449,0,5.378603150005802,1786737016.602621,0.011077300005126745,1055.7608588324651,2794.818820156159,1055.7608588324651,False,1031.306187608507,2800.81881786734,1031.306187608507,False,0.875253778511959,0.8549802068863663,-0.020273571625592623,0.16507201679791625,165.07201679791626,2798.0242403005495,5.890380273976458
450,0,5.38967025000602,1786737016.6146283,0.010953299992252141,1029.4464653862847,2794.818820156159,1029.4464653862847,False,1012.8812689887152,2800.81881786734,1012.8812689887152,False,0.8534384477954082,0.8397054602372228,-0.013732987558185417,0.10565805453831258,105.65805453831257,2797.96482633829,3.7702702875504057
451,0,5.40058665000106,1786737016.6251009,0.010799099996802397,1024.386070421007,2794.818820156159,1024.386070421007,False,1016.7541124131943,2800.81881786734,1016.7541124131943,False,0.8492432460344523,0.8429161502457624,-0.0063270957886899515,0.03838373017266894,38.38373017266894,2797.8975520139247,1.3696735003093399
452,0,5.411412449997442,1786737016.6361008,0.010780700002214871,1030.381675889757,2794.818820156159,1030.381675889757,False,1039.928312174479,2800.81881786734,1039.928312174479,False,0.8542137621291612,0.8621281770370247,0.007914414907863487,-0.09098462138804934,-90.98462138804935,2797.7681836623638,-3.246667905654059
453,0,5.4220896500046365,1786737016.646719,0.010505899990675971,1061.8681070963544,2794.818820156159,1061.8681070963544,False,1073.917152235243,2800.81881786734,1073.917152235243,False,0.8803168494475409,0.8903058277251935,0.00998897827765266,-0.10982973192978598,-109.82973192978598,2797.749338551822,-3.9191311707745498
454,0,5.43325200000254,1786737016.6584747,0.011754800012568012,1028.2857123480903,2794.818820156159,1028.2857123480903,False,1040.6127061631944,2800.81881786734,1040.6127061631944,False,0.8524761527130519,0.8626955578217949,0.010219405108742974,-0.11192290448210013,-111.92290448210012,2797.7472453792698,-3.993823311522271
455,0,5.444905750002363,1786737016.670023,0.011482100002467632,1053.257798936632,2794.818820156159,1053.257798936632,False,1045.3112494574652,2800.81881786734,1045.3112494574652,False,0.8731786754113454,0.8665907749416646,-0.00658790046968083,0.04075285184648647,40.75285184648647,2797.899921135598,1.454212526637399
456,0,5.456051799999841,1786737016.6800265,0.010742200000095181,1032.5109429253469,2794.818820156159,1032.5109429253469,False,1033.25859375,2800.81881786734,1033.25859375,False,0.8559789810258174,0.8565988034068147,0.0006198223809973369,-0.02472132737274597,-24.72132737274597,2797.834446956379,-0.8821484218079493
457,0,5.466324950008129,1786737016.6898506,0.009718300003441982,1026.2380859374998,2794.818820156159,1026.2380859374998,False,1008.2694471571182,2800.81881786734,1008.2694471571182,False,0.8507786160617763,0.8358821375120433,-0.014896478549732972,0.1162270815776055,116.2270815776055,2797.9753953653294,4.147412274393574
458,0,5.476059450003959,1786737016.7000613,0.009686099991085939,1061.662600368924,2794.818820156159,1061.662600368924,False,1044.2717203776042,2800.81881786734,1044.2717203776042,False,0.8801464789150586,0.8657289777388135,-0.014417501176245073,0.11187610262858096,111.87610262858095,2797.9710443863805,3.9921532482365456
459,0,5.486790800001472,1786737016.7116783,0.011687599995639175,1037.621053059896,2794.818820156159,1037.621053059896,False,1037.0113932291667,2800.81881786734,1037.0113932291667,False,0.8602153979818529,0.8597099737979682,-0.0005054241838846618,-0.014499708592276676,-14.499708592276676,2797.8446685751596,-0.5174032469410746
460,0,5.498402600002009,1786737016.723141,0.011459200002718717,1023.4571587456597,2794.818820156159,1023.4571587456597,False,1042.9535400390625,2800.81881786734,1042.9535400390625,False,0.8484731535964256,0.8646361712453575,0.01616301764893191,-0.16591404158990286,-165.91404158990287,2797.693254242162,-5.92042683378186
461,0,5.50955540000723,1786737016.734141,0.010775999995530583,993.9515896267363,2794.818820156159,993.9515896267363,False,975.1178412543404,2800.81881786734,975.1178412543404,False,0.8240122535332783,0.8083985761663105,-0.015613677366967837,0.1227420385020437,122.7420385020437,2797.981910322254,4.379890040752344
462,0,5.520091650003451,1786737016.7438061,0.010220700001809746,999.6351372612847,2794.818820156159,999.6351372612847,False,998.6628743489584,2800.81881786734,998.6628743489584,False,0.8287240653994545,0.8279180336351574,-0.0008060317642971659,-0.011769021660725711,-11.769021660725711,2797.847399262091,-0.4199622345391704
