file,sample,batch_kind,n,lockin_mean,shift_khz_mean,shift_nt_mean
twopoint_lockin_live_20260806_142443.csv,4,real,33,0.0013332620556510907,-39.8151364552671,-1420.7513722262026
twopoint_lockin_live_20260806_142443.csv,5,stale,33,0.0025061226508143793,-68.11016931215082,-2430.422827296275
twopoint_lockin_live_20260806_142443.csv,5,real,33,0.0025061226508143793,-68.11016931215082,-2430.422827296275
twopoint_lockin_live_20260806_142443.csv,6,stale,33,0.0006585661401518091,-23.538229228454888,-839.931102928022
twopoint_lockin_live_20260806_142443.csv,6,real,33,0.0006585661401518091,-23.538229228454888,-839.931102928022
twopoint_lockin_live_20260806_142443.csv,7,stale,33,6.576418598741785e-05,-9.236997829022332,-329.61025653091394
twopoint_lockin_live_20260806_142443.csv,7,real,33,6.576418598741785e-05,-9.236997829022332,-329.61025653091394
twopoint_lockin_live_20260806_142443.csv,8,stale,33,-0.0017677192653574032,34.9954324464026,1248.7665017985514
twopoint_lockin_live_20260806_142443.csv,8,real,33,-0.0017677192653574032,34.9954324464026,1248.7665017985514
twopoint_lockin_live_20260806_142443.csv,9,stale,33,0.0019495652877080092,-54.68333159522421,-1951.3035824730307
twopoint_lockin_live_20260806_142443.csv,9,real,33,0.0019495652877080092,-54.68333159522421,-1951.3035824730307
twopoint_lockin_live_20260806_142443.csv,10,stale,33,0.0029723101015790726,-79.35685053859046,-2831.7460226445355
twopoint_lockin_live_20260806_142443.csv,10,real,33,0.0029723101015790726,-79.35685053859046,-2831.7460226445355
twopoint_lockin_live_20260806_142443.csv,11,stale,33,0.0021831895471708484,-60.319471239549024,-2152.421896929383
twopoint_lockin_live_20260806_142443.csv,11,real,33,0.0021831895471708484,-60.319471239549024,-2152.421896929383
twopoint_lockin_live_20260806_142443.csv,12,stale,33,-0.0033822504445793545,73.94568190736939,2638.6555062578286
twopoint_lockin_live_20260806_142443.csv,12,real,33,-0.0033822504445793545,73.94568190736939,2638.6555062578286
twopoint_lockin_live_20260806_142443.csv,13,stale,33,-0.001959450748645679,39.62091704509447,1413.8209051204137
twopoint_lockin_live_20260806_142443.csv,13,real,33,-0.001959450748645679,39.62091704509447,1413.8209051204137
twopoint_lockin_live_20260806_142443.csv,14,stale,33,-0.00126566925005357,22.883573852634264,816.5705770994242
twopoint_lockin_live_20260806_142443.csv,14,real,33,-0.00126566925005357,22.883573852634264,816.5705770994242
twopoint_lockin_live_20260806_142443.csv,15,stale,33,0.0030155438188221753,-80.39985552568245,-2868.964299374909
twopoint_lockin_live_20260806_142443.csv,15,real,33,0.0030155438188221753,-80.39985552568245,-2868.964299374909
twopoint_lockin_live_20260806_145051.csv,0,stale,23,-0.04728971389242058,1426.7513335535143,50911.7661131
twopoint_lockin_live_20260806_145051.csv,0,real,21,0.00257938154774111,-75.63428429131645,-2698.911086615631
twopoint_lockin_live_20260806_145051.csv,1,stale,23,-0.0008054371505388061,26.338749035705444,939.8640106945991
twopoint_lockin_live_20260806_145051.csv,1,real,21,-0.0007725527598757547,25.34805459563798,904.5123678146581
twopoint_lockin_live_20260806_145051.csv,2,stale,23,0.002166278771503726,-63.18890776637995,-2254.814008220809
twopoint_lockin_live_20260806_145051.csv,2,real,21,0.002303036851479015,-67.30896189339897,-2401.8327823793525
twopoint_lockin_live_20260806_145051.csv,3,stale,23,-0.0032234973467951435,99.18664871934115,3539.3465857601036
twopoint_lockin_live_20260806_145051.csv,3,real,21,-0.0027015203051144474,83.46126221805092,2978.2066164020453
twopoint_lockin_live_20260806_145051.csv,4,stale,23,-0.0016935857709230607,53.09563527951372,1894.648703950675
twopoint_lockin_live_20260806_145051.csv,4,real,21,-0.002621088772283915,81.03813468627553,2891.740461257334
twopoint_lockin_live_20260806_145051.csv,5,stale,23,-0.0015722932342329265,49.44150518016523,1764.2558228720106
twopoint_lockin_live_20260806_145051.csv,5,real,21,-0.0009443149852782378,30.522664138001833,1089.161580716594
twopoint_lockin_live_20260806_145051.csv,6,stale,23,0.0018319094130063778,-53.11550036204507,-1895.357563589961
twopoint_lockin_live_20260806_145051.csv,6,real,21,0.0007627356420080142,-20.90494425816917,-745.9657528607326
twopoint_lockin_live_20260806_145051.csv,7,stale,23,-0.00046196966199526525,15.991246029474357,570.6268209204381
twopoint_lockin_live_20260806_145051.csv,7,real,21,0.0001388000581076811,-2.107894914486946,-75.21748909816394
twopoint_lockin_live_20260806_145051.csv,8,stale,23,-0.0021408927778512167,66.57146851928925,2375.516290297219
twopoint_lockin_live_20260806_145051.csv,8,real,21,-0.002950603978522057,90.96530305265112,3245.9785559752754
twopoint_lockin_live_20260806_145051.csv,9,stale,23,0.0012152573639522084,-34.53787906098849,-1232.439304203129
twopoint_lockin_live_20260806_145051.csv,9,real,21,0.0015691939825238717,-45.20078121867357,-1612.9311025789884
twopoint_lockin_live_20260806_145051.csv,10,stale,23,0.0004919018516630566,-12.7456466440999,-454.8118271517235
