batch,sample,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_freq_mhz,peak_01_raw,peak_01_spike_sig,peak_01_ref,peak_01_ref_raw,peak_01_spike_ref,peak_02,peak_02_freq_mhz,peak_02_raw,peak_02_spike_sig,peak_02_ref,peak_02_ref_raw,peak_02_spike_ref,z_minus,z_plus,lockin_signal,delta_f_mhz,peak_shift_kHz,f_new_mhz,B_shift_uT
500,0,7.73344870848814,1785874183.3581371,0.010131083079613745,-5282.520559714335,2806.827483148631,-5282.520559714335,False,-5292.359301971719,-5292.359301971719,False,-5284.688820198514,2812.827480859813,-5284.688820198514,False,-5280.350014817454,-5280.350014817454,False,-0.9981409534583718,-1.0008216889730575,-0.002680735514685617,0.26720464075492245,267.2046407549225,2810.2117016020006,9.534850155399745
501,0,7.74834585445933,1785874183.377703,0.019478040980175138,-5285.7287728358215,2806.827483148631,-5285.7287728358215,False,-5279.562309050873,-5279.562309050873,False,-5289.398485829065,2812.827480859813,-5289.398485829065,False,-5279.649897473858,-5279.649897473858,False,-1.0011679876898842,-1.001846445984964,-0.0006784582950798423,0.04308672849410656,43.08672849410656,2809.98758368974,1.537493880035204
502,0,7.763655187969562,1785874183.388761,0.010973458061926067,-5286.039214422498,2806.827483148631,-5286.039214422498,False,-5279.562309050873,-5279.562309050873,False,-5289.398485829065,2812.827480859813,-5289.398485829065,False,-5279.649897473858,-5279.649897473858,False,-1.0012267883192743,-1.001846445984964,-0.0006196576656898323,0.036505085268347004,36.505085268347,2809.9810020465143,1.3026364997269129
503,0,7.778992375533562,1785874183.4083898,0.019561166991479695,-5279.964208209799,2806.827483148631,-5279.964208209799,False,-5289.512952314381,-5289.512952314381,False,-5281.673165526231,2812.827480859813,-5281.673165526231,False,-5278.3198795733115,-5278.3198795733115,False,-0.9981947781977915,-1.0006352941900882,-0.0024405159922967767,0.24031650692664205,240.31650692664206,2810.1848134681727,8.575382062754855
504,0,7.79389612498926,1785874183.418557,0.010098999948240817,-5279.802385011913,2806.827483148631,-5279.802385011913,False,-5289.512952314381,-5289.512952314381,False,-5281.673165526231,2812.827480859813,-5281.673165526231,False,-5278.3198795733115,-5278.3198795733115,False,-0.9981641849845136,-1.0006352941900882,-0.0024711092055745842,0.24374085147895239,243.74085147895238,2810.1882378127248,8.69757534538083
505,0,7.808962021023035,1785874183.438545,0.019918042002245784,-5287.175970875399,2806.827483148631,-5287.175970875399,False,-5284.178343661254,-5284.178343661254,False,-5281.105126174266,2812.827480859813,-5281.105126174266,False,-5284.1557174770205,-5284.1557174770205,False,-1.0005672835054367,-0.9994226908770563,0.001144592628380403,-0.16097011384039644,-160.97011384039644,2809.7835268474055,-5.744009200699273
506,0,7.824444270983804,1785874183.449497,0.010858042049221694,-5285.168222609971,2806.827483148631,-5285.168222609971,False,-5284.178343661254,-5284.178343661254,False,-5281.105126174266,2812.827480859813,-5281.105126174266,False,-5284.1557174770205,-5284.1557174770205,False,-1.000187328830395,-0.9994226908770563,0.0007646379533388092,-0.11844121340131304,-118.44121340131304,2809.8260557478447,-4.226420689455932
507,0,7.83969920896925,1785874183.469059,0.019485499942675233,-5285.1565620053925,2806.827483148631,-5285.1565620053925,False,-5286.509293798864,-5286.509293798864,False,-5274.972494687643,2812.827480859813,-5274.972494687643,False,-5280.906237416794,-5280.906237416794,False,-0.9997441162554924,-0.9988763779430302,0.0008677383124622295,-0.12998139226057748,-129.98139226057748,2809.8145155689854,-4.638216966192459
508,0,7.8542872709804215,1785874183.478682,0.009558291989378631,-5284.076940455101,2806.827483148631,-5284.076940455101,False,-5286.509293798864,-5286.509293798864,False,-5274.972494687643,2812.827480859813,-5274.972494687643,False,-5280.906237416794,-5280.906237416794,False,-0.9995398942461681,-0.9988763779430302,0.0006635163031378788,-0.10712251441922946,-107.12251441922946,2809.8373744468267,-3.822527634143215
509,0,7.869102375465445,1785874183.4986959,0.0199343329295516,-5285.583109964106,2806.827483148631,-5285.583109964106,False,-5285.897698444235,-5285.897698444235,False,-5276.340322342725,2812.827480859813,-5276.340322342725,False,-5283.278091033647,-5283.278091033647,False,-0.9999404853256578,-0.9986868439307225,0.0012536413949353342,-0.17317610692447108,-173.17610692447107,2809.7713208543214,-6.1795641922805835
