batch,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_freq_mhz,peak_01_raw,peak_01_spike_sig,peak_02,peak_02_freq_mhz,peak_02_raw,peak_02_spike_sig,z_minus,z_plus,lockin_signal,delta_f_mhz,peak_shift_kHz,f_new_mhz,B_shift_uT
1137,11.855374041420873,1785872556.9438632,0.010642917011864483,-5273.5148577192285,2806.913354404411,-5273.5148577192285,False,-5280.0894825320165,2813.913351734123,-5280.0894825320165,False,-1.0074719152398048,-1.0087279560457632,-0.001256040805958314,0.0998074756038988,99.8074756038988,2810.6107488444604,3.5614999858656438
1138,11.866206332924776,1785872556.954751,0.01080175000242889,-5271.105917412967,2806.913354404411,-5271.105917412967,False,-5269.133063850598,2813.913351734123,-5269.133063850598,False,-1.0070117023136016,-1.006634801022794,0.0003769012908076963,-0.07158577947145649,-71.58577947145649,2810.439355589385,-2.554445456446492
1139,11.876668353914283,1785872556.9648268,0.010035041952505708,-5272.1939954763575,2806.913354404411,-5272.1939954763575,False,-5271.239490173304,2813.913351734123,-5271.239490173304,False,-1.0072195727984736,-1.007037220551117,0.0001823522473565209,-0.05116595326026921,-51.16595326026921,2810.459775415596,-1.825790510286512
1140,11.886592749448027,1785872556.974606,0.009742916910909116,-5274.241854387627,2806.913354404411,-5274.241854387627,False,-5277.994617477152,2813.913351734123,-5277.994617477152,False,-1.0076108033904305,-1.008327745225099,-0.0007169418346684164,0.04322376226823173,43.22376226823173,2810.5541651311246,1.5423837520779236
1141,11.896878291445319,1785872556.9854,0.010757583077065647,-5263.64312589785,2806.913354404411,-5263.64312589785,False,-5269.483690436166,2813.913351734123,-5269.483690436166,False,-1.005585982833592,-1.006701786031318,-0.001115803197726084,0.08508816607877454,85.08816607877453,2810.596029534935,3.036260565186074
1142,11.907571645453572,1785872556.99599,0.010552125051617622,-5265.253628083259,2806.913354404411,-5265.253628083259,False,-5279.727843323043,2813.913351734123,-5279.727843323043,False,-1.0058936591680687,-1.0086588671446564,-0.002765207976587636,0.25820934076451507,258.20934076451505,2810.769150709621,9.213864571956718
1143,11.917997624434065,1785872557.006249,0.010221667005680501,-5270.140909924505,2806.913354404411,-5270.140909924505,False,-5272.460852156371,2813.913351734123,-5272.460852156371,False,-1.0068273436896378,-1.0072705540923095,-0.000443210402671701,0.014492969401007343,14.492969401007343,2810.5254343382576,0.5171627676636934
1144,11.92810533294687,1785872557.016244,0.009925250080414116,-5270.471400189504,2806.913354404411,-5270.471400189504,False,-5270.779665005959,2813.913351734123,-5270.779665005959,False,-1.0068904817804993,-1.006949373838911,-5.889205841169698e-05,-0.02584500225049558,-25.845002250495583,2810.485096366606,-0.9222452986902505
1145,11.938842332921922,1785872557.0276349,0.011297415941953659,-5271.198250145185,2806.913354404411,-5271.198250145185,False,-5282.312569917781,2813.913351734123,-5282.312569917781,False,-1.0070293419025809,-1.0091526629379801,-0.0021233210353992504,0.19083702397598848,190.83702397598847,2810.7017783928327,6.809771052525995
1146,11.9498901454499,1785872557.038424,0.010709959082305431,-5278.2994223186715,2806.913354404411,-5278.2994223186715,False,-5266.746607268393,2813.913351734123,-5266.746607268393,False,-1.0083859762770149,-1.0061788834709564,0.002207092806058464,-0.26368229154703093,-263.68229154703096,2810.2472590773095,-9.409159704076183
1147,11.960989811981563,1785872557.049786,0.011237291968427598,-5273.054893480454,2806.913354404411,-5273.054893480454,False,-5277.149766176606,2813.913351734123,-5277.149766176606,False,-1.007384041958875,-1.0081663416866964,-0.0007822997278212895,0.05008371282895474,50.08371282895474,2810.5610250816853,1.7871721677474572
1148,11.972250957973301,1785872557.0609221,0.011054666014388204,-5275.936184552373,2806.913354404411,-5275.936184552373,False,-5276.878572301861,2813.913351734123,-5276.878572301861,False,-1.0079344945342272,-1.008114531799029,-0.00018003726480175786,-0.013129627160901372,-13.129627160901371,2810.4978117416954,-0.46851367259853594
1149,11.983268853917252,1785872557.071859,0.010896541993133724,-5266.862681480577,2806.913354404411,-5266.862681480577,False,-5275.798442705627,2813.913351734123,-5275.798442705627,False,-1.0062010587206738,-1.00790817981892,-0.0017071210982462226,0.1471527671171016,147.1527671171016,2810.6580941359734,5.250955149768113
1150,11.994314895477146,1785872557.0830169,0.011122541036456823,-5280.071907570988,2806.913354404411,-5280.071907570988,False,-5273.560846043341,2813.913351734123,-5273.560846043341,False,-1.0087245984597648,-1.0074807010204887,0.0012438974392761093,-0.16258551076510708,-162.58551076510707,2810.3483558580915,-5.801652539434309
1151,12.005196853948291,1785872557.093622,0.01056804193649441,-5280.3326252407005,2806.913354404411,-5280.3326252407005,False,-5278.768536234985,2813.913351734123,-5278.768536234985,False,-1.008774406934213,-1.0084755975464121,0.0002988093878009135,-0.06338926994557136,-63.38926994557136,2810.447552098911,-2.2619636720515044
1152,12.015856915910263,1785872557.104338,0.010679250000976026,-5272.436334321606,2806.913354404411,-5272.436334321606,False,-5279.723405263319,2813.913351734123,-5279.723405263319,False,-1.0072658701138595,-1.008658019281201,-0.0013921491673414277,0.11409338025821883,114.09338025821883,2810.6250347491145,4.071273917292992
1153,12.02714597893646,1785872557.1162,0.011827542097307742,-5278.536988415809,2806.913354404411,-5278.536988415809,False,-5276.265945838555,2813.913351734123,-5276.265945838555,False,-1.0084313617888294,-1.0079974933582612,0.00043386843056825164,-0.07756503834121747,-77.56503834121747,2810.4333763305153,-2.7678075342997954
1154,12.038396353891585,1785872557.12684,0.010606041993014514,-5275.518169453189,2806.913354404411,-5275.518169453189,False,-5282.380432191216,2813.913351734123,-5282.380432191216,False,-1.0078546353731295,-1.0091656275993937,-0.0013109922262641849,0.1055751649885315,105.57516498853151,2810.6165165338452,3.767312481748912
